,SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 ,Ba ,Ga ,Sc  ,V ,Th ,Pb ,Ni ,Co ,Rb  ,Sr ,Y ,Zr ,Nb,Cr ,Cu ,Zn,Be ,Ge ,La ,Ce,Pr ,Nd,Sm ,Eu ,Gd,Tb ,Dy ,Ho ,Er,Tm,Yb ,Lu ,Hf ,Hf .1
0,0.1042838951955794,-1.1464532901567845,0.9775505434467628,0.49282034936678576,0.4034481498813006,0.279372366313277,0.5535198025704201,-1.317882082402147,1.3639606997594915,-0.26307065384918094,-0.9709766846647165,0.020538503876217643,0.2648934651618266,-0.012930856996919341,-0.875030907396963,-0.803605309799428,1.6630491261284561,0.8065325322057579,-0.9513866407622382,1.004845493599752,0.13865064383519532,0.149832564798931,0.5354298317963853,1.7995358290616896,-0.46272243408861646,-0.041166474449681655,0.09192031758644481,1.9122253384019818,-0.5936217126940341,-0.5418126258175141,-0.5083339967510633,-0.08073876113409341,0.3725661585286918,-0.3493605447029078,-0.11754442126762413,0.05642354375204708,0.22338702370907007,-0.046850676109622486,0.34076277830786444,0.011612184254320463,0.16988758336306317,0.02721829636928785,-0.03485945695158199,-0.03485945695158199
1,0.8527443606481997,-0.9626000996798263,0.7441014727206814,0.07881726787278116,-0.17129230989587302,0.03258482654393838,0.4316988691511991,-0.6601212317776031,0.21876380310145638,0.07211024228284288,0.3421600830222766,-0.4398315048363469,-0.14815975062975054,-0.3612843105088457,-0.6767835216963711,-0.32238813018555185,0.8873694986582961,0.6002154774027951,-0.027674801039928105,0.24434081700776428,1.3442179889767352,1.7862221951759127,0.7743063649323532,0.8129453717002376,0.45877284001459023,-0.0030262032521120776,-0.10642708806258602,1.3574207098890319,0.07057918341450048,0.23822300765715393,0.09402562359425892,0.49316468365622446,0.9968015599476583,-0.1443012446789297,0.9218857820937656,1.2950821707551439,1.6916724864903203,1.6465294982161713,2.0130735751847704,1.9646434682361065,2.1107714108671902,2.536394762816968,2.050265358816752,2.050265358816752
2,0.2623811592885123,-1.5719421024034597,1.1423381227828195,0.2858188086197836,1.1535331567091376,0.5690794782164137,-0.07588835342888778,-0.45876586934151836,0.5868628055986822,0.965925965301573,0.31230236448409116,-0.6096155243793188,-0.14815975062975054,0.1679085328894551,-0.49744694708976056,-0.32238813018555185,1.7619868937271568,0.6002154774027951,-0.14246108057371934,0.5189054325754084,1.3891361181853998,1.4344053155554466,0.7743063649323532,3.2638457253913065,0.45877284001459023,0.6631337348526152,-0.1715512632527068,1.5458517981113493,0.04350059064252181,0.11051248627396844,0.02080851066382507,0.4066974124214082,0.99857442901956,-0.03159165634591198,0.9015775262518364,1.4947974935373654,1.7353344546671705,1.6449063119008311,2.0367274985491353,1.8700365180575658,2.0050515751046105,1.9434793898412175,1.4680425584187753,1.4680425584187753
3,0.6226027736774732,-1.4038477568245262,1.0187474382807769,0.2858188086197836,0.3742240587061903,0.4886052804655422,0.2997261912803766,-0.9285950483590496,0.5459629164323238,0.29556417303752536,-0.5289942185698765,-0.4398315048363469,0.2648934651618266,0.20308837347330785,-1.0966526292817609,-0.21579084270449678,1.1235290160810874,0.6002154774027951,-0.45176966912820454,0.6171466964149531,1.2984602201240387,1.8389030737961347,0.8866681687448043,1.0525444048967476,0.07577584945274853,0.31758325805336457,-0.10808625546250142,1.2551446494047935,-0.40391597800075374,-0.38004373822687126,-0.3211469405803266,0.15211802997707952,0.7225765022586236,-0.10025873047527156,0.6608366791977069,1.1604399803928294,1.5512402304174506,1.5861226722509716,2.0164616693819255,1.9392906346994834,2.0449907212771543,2.6090623182418127,2.0320833396924267,2.0320833396924267
4,-0.21191063299028784,-0.4162934765482926,0.929487499473746,0.2858188086197836,0.8807749724081062,0.1184239708115345,-0.025129631170879026,0.25268974459931526,0.34146347060053167,0.5190181037922081,-0.220988980391651,-0.12554548302244461,1.0091530843331347,0.13240741077695745,-0.49744694708976056,-0.673949728204313,0.4582849569088444,0.25602667556472214,0.4614598718725041,0.3682182907424632,1.3891361181853998,1.2710135370320215,1.390570086091198,0.36354997826689295,0.015213603164832157,0.31758325805336457,0.587610080196645,-0.6549611044151884,0.20142400825415588,0.22514469689184277,0.1394113223316527,0.5072584335640361,0.9641047634469636,0.04591480653032068,0.9259604983489463,1.4606274188082915,1.997671415366851,2.024351938799355,2.268096858915602,2.439429479575962,2.422491913310516,2.4433339164882484,1.5491413288082225,1.5491413288082225
5,0.230361460231715,-0.3427522003575099,0.40079401577056234,0.07881726787278116,1.0268954282836589,-0.04788937120693287,0.22866398011916453,0.11845283630859188,0.014264357269664683,-0.15134368847183974,0.2008895437818278,0.29377505985565217,0.6494368092337403,0.27250710842788706,-0.33372548173148636,-0.5509461456361903,0.6238277775091967,0.25602667556472214,0.055440808000153614,0.7109321333254506,0.547593924248738,0.7450516908527173,0.2748085357155814,0.7401970554695916,0.015213603164832157,-0.041166474449681655,0.2493789038188184,-0.5402742705008612,-0.04768774353657174,0.034422081264051066,-0.08151918042553984,0.2784121283740252,0.6548741337437679,-0.1648996880802446,0.40831838800829007,0.5529027994897615,0.8633731422317545,0.7712922710502618,0.9619414863007644,0.9072162680839128,1.054335489645841,0.9783155776835001,0.9981095530290425,0.9981095530290425
6,0.7847025001525063,-0.40578757994960946,0.18794339246148883,0.07881726787278116,0.7249131528075166,-0.305406804009721,0.045932579990333004,0.1587239087958086,-0.19023508856212745,-0.3747976192265223,0.09685798601715419,0.020538503876217643,-0.14815975062975054,0.023916299011840527,-0.875030907396963,-0.673949728204313,0.7022910749758222,0.25602667556472214,0.00030426936533344467,0.427481242799376,0.13865064383519532,0.04002892508229168,-0.33056217321644077,1.1011175192853686,-0.46272243408861646,0.21496257998701523,-0.09797399416646659,-0.4543695056063683,0.020694468674294756,0.026510741471653148,-0.037833130283791976,0.30782203893353066,0.6505800267767526,-0.26658142333151114,0.26020588249598464,0.30063797211640136,0.5008880929430511,0.41060255443592425,0.6851651646847795,0.5917154502964433,0.7199606122924099,0.6329080893225445,-0.02459847609915006,-0.02459847609915006
7,0.47251043434873924,-0.1904166996766011,0.14674649762747483,0.07881726787278116,0.46189633223152177,-0.16055324805815266,-0.5327168537509661,0.7359426144459188,0.17786391393509793,0.18383720766018427,0.33223209460558095,0.5451283257462994,1.0091530843331347,-0.2025950993760201,0.6274490515193792,0.4213770693020233,0.991595819518394,1.1753874280218857,0.508325513006785,0.26971703123817864,0.3516518285184949,0.46379098114344436,-0.16681139038352313,0.5488210397415658,0.2481007709281838,0.2496127873283718,0.18755933060840493,0.39007686157009297,0.6897501089646937,0.757189547137842,0.5242460032043895,0.8602443005533428,1.3335853801730346,-0.19734486737759566,0.8175014854984681,0.971173264245686,1.3433687962851342,1.3396147146280166,1.240188476382394,1.5156600944394114,1.4288650001240848,1.3278166821188764,1.6326966941469392,1.6326966941469392
8,1.3790681638942923,-1.8083247758738343,-0.27895474899067285,0.2858188086197836,-0.2589645834212045,0.1774383824955067,-0.39059243142854183,-0.3111052702217229,0.1369640247687395,0.18383720766018427,0.9314544147514785,-1.1821488640726596,-1.0792637179344864,-1.9374674172809507,-0.043674041788169866,0.07821493385151218,-0.18198752416140304,-0.611259838102354,0.00030426936533344467,0.5521737453180103,0.41872367777644975,0.5687690074825659,-0.16681139038352313,-0.10301130063264767,-1.1761754832141176,-0.0030262032521120776,0.11418022780167354,1.182083036658822,0.559441308178618,0.5890061993055931,0.3414163604661687,0.7006548174770825,0.993251255821249,-0.21901822445617433,0.7983056252595997,0.837377249072355,0.8586236111870941,0.6607301567477795,0.9544145665734193,0.5424032683244147,0.7962291801296663,0.9564878429677864,0.9724032730207819,0.9724032730207819
9,0.6306076984416722,-1.2830299459396677,-0.6977898464698182,-0.12818427287422102,0.052759055779974376,0.7729474458519542,-0.09619184233209128,0.10502914547951925,-0.2720348668948443,0.29556417303752536,0.8273331646149866,0.16012768097334246,-0.14815975062975054,-2.1240958564182426,0.20757994393399026,0.3400796529337104,-0.42170483767962375,-0.2886409290884798,0.21464596859799656,1.004845493599752,0.28269038491108067,0.5891288033373958,-0.6891369002537823,-0.45882316842740023,-0.8810198678333455,-0.0030262032521120776,0.322311837014863,0.5836061218035705,0.2407699900179892,0.2625925719980775,0.03855338212163724,0.37730262720660324,0.7282390763108516,-0.3563098226125909,0.22417780985081778,0.13283326100909504,0.04823793089986664,-0.21977167403371037,-0.004927562218367398,-0.22246632695109628,-0.050745956998810085,0.4605043639858196,0.7775445472311403,0.7775445472311403
10,-0.0918367615273004,-0.4635700112423675,-0.10730102051561334,0.07881726787278116,-0.08362003637054156,0.6280938899003861,-0.9793936096214428,0.42719772537725537,-0.476534312726636,0.07211024228284288,0.5357453216821336,0.020538503876217643,-0.14815975062975054,-1.6450479626415666,-0.043674041788169866,0.2559291200937372,-0.18198752416140304,-0.14131013602279296,0.5771911601114355,0.05741432972406549,0.21172978287636768,-0.062046459376424286,-0.8867917327953955,-0.1808783389484631,-0.46272243408861646,-0.07986355756314378,0.2963878314518754,0.6475639798987796,0.20312606359301083,0.20683350501246725,0.0061762709775202065,0.3201555518621981,0.5595738998103325,-0.4955112681171846,0.08892572975969536,0.09027644809596115,-0.04224525457907801,-0.3552539521324658,-0.011496109815101588,-0.24677182436557055,-0.26871503949737446,-0.4067336116876382,-0.41030038020304355,-0.41030038020304355
11,-1.6227786226803862,0.8654259084910737,-0.18282866104463974,-0.12818427287422102,-0.0543959451954308,-0.30004185749299633,5.751212961790512,0.14530021796673656,-0.6401338693920697,-0.48652458460386355,2.098160541286951,-0.12554548302244461,-0.5942912105034505,-1.373094733298794,-0.49744694708976056,0.3400796529337104,-0.35936641379737516,0.13026577532323297,0.7316073168014195,0.13960271468131227,-0.09466575584802121,0.35877008753456613,-0.6891369002537823,0.0217663249722307,0.015213603164832157,-0.11913395161554827,0.46472832711173,1.1762758777152353,-0.20152800258062192,-0.17977261379076392,-0.3322562594424846,-0.016693459600133534,0.30701653064951673,-0.5079394180653132,-0.20594253553858347,-0.18712876985317015,-0.09689581852791744,-0.20805824329137684,0.18784369524415917,-0.06876602681021561,0.09568293135454779,-0.016534379986889277,0.0028715859540407985,0.0028715859540407985
12,0.3084094766826567,-0.1641519581798933,0.25660488385151237,0.07881726787278116,0.004052237154790324,-0.6863180066971785,-1.0403040763310532,0.4540451070354,-0.35383464522756114,-0.3747976192265223,0.38162899977468306,0.16012768097334246,-0.14815975062975054,-0.8803670159493829,-1.3479066150039207,0.5000085108415002,0.18493140041326683,-0.611259838102354,0.9780604459702624,-0.013662614286857574,-0.09466575584802121,0.2836510144761953,-0.6891369002537823,0.36354997826689295,0.1921387005204572,0.07164642810001269,0.9965651881528619,1.2321712037448098,-0.2863497007642066,-0.21847179494012473,-0.4007861758749691,-0.08694606984435675,0.29484929489927314,-0.4845408773583051,-0.3928300342146155,-0.28551613613115706,-0.28820630087997934,-0.18005596639222804,0.02693367962022424,-0.08780558606617313,-0.0647221151728435,0.02721829636928785,0.1592269162370022,0.1592269162370022
13,-0.20190447703503805,0.66581387311609,0.9638182451687578,0.07881726787278116,0.49112042340663253,-0.04252442469020823,-0.09619184233209128,-0.9017476667009049,-0.31293475606120275,-0.15134368847183974,-1.5618957685357127,0.29377505985565217,1.0091530843331347,-0.2025950993760201,-0.043674041788169866,0.3400796529337104,0.8873694986582961,0.8065325322057579,-0.551609981058864,0.8103808836320019,1.0043506261755448,0.8678966608082685,0.7743063649323532,0.7030396597817512,-0.047054844452588264,0.14427297435181172,0.41273569462694276,1.1665844225308075,0.46183030076231846,0.5071339128525034,0.2592984294023944,0.6311862044843937,0.993251255821249,-0.1353996502886315,0.835688259378238,1.2452351234367827,1.4144790326081225,1.3145513883288178,1.7286938015397046,1.6696098141959683,1.8762452163775274,1.5537275838753595,0.9886953113983368,0.9886953113983368
14,0.9748194633022365,-1.0571531690679763,0.34586482265854385,0.07881726787278116,0.09172451068012179,0.05940955912756228,0.05608432444193476,-0.24398681607636094,-0.31293475606120275,1.3011068614335968,-0.6035481503788775,0.29377505985565217,0.2648934651618266,-0.5267282511493434,-0.6767835216963711,-0.32238813018555185,0.851538677205328,-0.14131013602279296,0.3159857064564118,0.6064586338028984,0.547593924248738,0.6927924356916259,0.4080818102144839,1.0525444048967476,-0.17711492734572346,-0.041166474449681655,0.31470124571148167,1.3386154032995856,0.08772876184458789,0.106509487745521,-0.023401389736001997,0.3636850437156848,0.7487368894273917,-0.36519624375945486,0.3614324464569533,0.47347537093724534,0.5132002444008286,0.41639832319363795,0.7132849315248001,0.4232353048373278,0.6536600567202681,1.096622220398084,1.0527918863679584,1.0527918863679584
