SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 
54.56,15.66,5.67,0.06,2.79,4.58,1.25,2.86,0.94,0.09
52.82,14.69,6.14,0.06,3.14,5.76,1.28,2.19,0.82,0.07
66.18,13.64,4.17,0.05,2.62,1.94,1.17,2.06,0.66,0.07
64.38,14.30,5.79,0.08,2.85,1.66,1.43,2.15,0.79,0.10
64.15,13.73,5.68,0.08,2.87,2.15,1.40,2.05,0.83,0.10
64.70,14.06,6.37,0.08,2.96,2.04,1.47,1.92,0.88,0.10
62.43,13.67,5.87,0.08,3.04,2.75,1.61,2.11,0.88,0.14
59.31,12.28,4.45,0.06,2.66,3.62,5.76,1.63,0.85,0.07
63.95,13.26,4.99,0.07,2.53,1.94,1.69,2.06,0.81,0.07
61.35,12.44,4.57,0.07,3.46,3.71,2.07,1.86,0.82,0.22
61.87,11.86,4.17,0.07,2.49,4.48,2.11,1.66,0.76,0.1
62.71,12.38,4.68,0.06,2.65,2.14,1.7,1.82,0.89,0.07
56.79,15.14,5.38,0.08,2.52,4.96,1.87,2.46,0.92,0.08
59.95,15.55,6.03,0.08,3,2.01,1.3,2.84,0.95,0.09
56.67,15.31,4.45,0.03,2.65,4.58,2.09,2.92,0.65,0.05
54.13,14.44,4.71,0.04,3.07,1.84,5.3,2.86,0.63,0.08
60.19,15.68,4.63,0.06,1.61,1.8,1.82,3.73,0.67,0.17
64.35,15.77,4.88,0.06,1.42,0.72,1.18,3.89,0.83,0.1
66.66,14.01,4.57,0.06,1.68,1.1,1.37,3,0.91,0.15
56.13,13.41,4.24,0.05,1.86,6.88,1.26,2.65,0.71,0.14
57.08,15.92,6.37,0.08,2.83,1.51,2.22,3.27,0.91,0.11
57.44,15.25,6.63,0.09,2.77,3.52,3.7,2.3,1.58,0.53
57.84,15.42,6.66,0.09,2.44,3.18,3.28,2.45,1.43,0.43
63.07,13.99,5.91,0.09,2.22,3.05,2.27,2.22,1.2,0.39
56.52,14.46,5.67,0.08,2.4,5.93,2.03,2.74,1.1,0.31
61.07,17.68,4.14,0.05,1.33,1.44,2.47,4.01,0.66,0.12
61.6,15.63,6.22,0.07,2.1,2.46,1.72,3.11,0.88,0.08
59.59,13.47,7.94,0.11,4.32,2.94,1.01,2.62,1.03,0.14
67.53,15.62,7.44,0.07,1.67,1.08,1.08,2.35,0.95,0.11
66.07,14.58,4.22,0.07,1.63,0.85,0.94,4.25,0.88,0.1
68.73,15.65,3.92,0.03,1.33,0.57,1.17,3.52,0.8,0.1
59.48,13.6,5.31,0.07,2.54,4.89,1.39,2.53,0.8,0.14
61.39,13.37,5.62,0.07,2.43,3.31,1.92,2.49,0.91,0.11
57.16,14.93,6.54,0.08,2.86,3.31,2.88,3.04,1.22,0.35
56.08,15.53,6.79,0.09,2.52,3.45,2.64,3.13,1.31,0.26
61.34,16.57,4.09,0.06,1.43,2.38,2.83,3.44,1.12,0.14
62.34,16.34,4.55,0.07,1.69,1.62,2.28,3.19,0.93,0.12
69.45,15.29,4.45,0.07,1.36,1.38,2.28,3.97,0.86,0.12
61.83,17.81,4.08,0.05,1.36,1.11,2.38,3.19,0.62,0.07
52.1,17.16,7.14,0.08,3.42,4.66,1.62,2.19,1.04,0.1
56.7,18.3,7.55,0.07,1.87,1.18,1.11,2.78,0.99,0.07
60.87,17.21,6.72,0.05,1.67,0.82,1.44,2.86,1.17,0.07
65.55,15.71,3.73,0.04,1.58,1.06,1.1,4.12,0.7,0.14
63.89,14.65,4.77,0.04,1.79,1.66,1.04,3.02,0.7,0.13
59.44,15.83,5.06,0.06,3.11,3.36,1.26,3.34,0.66,0.12
56.21,15.94,4.26,0.07,2.2,3.39,4.87,2.27,1.12,0.14
61.03,16.01,4.97,0.07,1.79,2.22,3.94,2.58,1.22,0.2
59.93,17.14,5.21,0.11,1.98,2.07,2.68,3.2,0.95,0.1
62.33,16.34,4.49,0.07,1.5,1.53,2.03,3.93,0.73,0.17
62.84,16.88,3.87,0.05,1.22,1.32,2.08,3.51,0.65,0.1
62.14,15.46,5.68,0.08,2.15,1.78,2.85,2.53,1.02,0.1
59.49,16.92,4.26,0.06,2.07,1.45,3.16,3.37,0.77,0.12
50.54,13.63,7.72,0.09,4.35,5.98,1.84,2.34,1.21,0.1
52.01,17.09,7.12,0.07,2.52,3.55,1.1,2.6,0.86,0.12
60.91,15.31,7.2,0.12,2.27,1.07,0.9,2.19,0.92,0.12
64.5,15.57,4.62,0.03,1.45,0.71,1.06,3.25,0.9,0.13
64.48,15.88,4.97,0.04,1.81,0.72,1.05,3.2,0.76,0.11
65.17,13.54,4.7,0.07,2.83,2.21,1.58,2.44,0.77,0.1
57.23,14.8,5.99,0.06,4.08,5.78,0.98,2.48,0.75,0.12
59.26,15.3,5.1,0.08,3.01,3.6,1.79,2.43,0.95,0.17
60.73,16.19,5.24,0.09,2.83,2.01,1.42,3.88,0.76,0.15
59.8,17.03,5.73,0.08,1.96,1.71,1.93,3.31,0.97,0.11
63.9,15.8,4.35,0.07,1.32,1.5,2.26,3.36,0.69,0.07
60.53,17.32,4.28,0.07,1.64,1.3,3.74,1.97,1.02,0.11
60.61,16.47,4.88,0.07,1.61,1.37,3.09,2.4,0.91,0.09
55.5,13.91,8.33,0.11,4.41,2.3,0.75,2.05,1.01,0.12
53.14,13.96,7.78,0.12,3.57,5.1,0.61,2.06,0.96,0.13
53.93,15.28,9.47,0.14,3.04,3.01,1.46,1.02,1.1,0.13
57.9,15.48,4.14,0.04,1.7,4.29,2.97,2.84,0.8,0.1
67.96,13.17,4.55,0.04,2.07,1.06,1.04,2.84,0.61,0.11
63.64,14.81,4.39,0.06,2.14,2.17,1.43,3.97,0.66,0.14
49.44,18.47,5.49,0.08,2.61,4.37,3.51,3.54,0.86,0.09
59.55,16.22,5.49,0.12,2.09,1.9,2.48,3.84,0.77,0.11
57.75,16.36,6.09,0.08,1.93,1.72,1.66,3.71,0.88,0.12
61.02,16.21,5.42,0.08,1.94,2.17,1.6,3.1,0.85,0.12
58.97,17.63,5.49,0.08,2.13,1.32,2.86,2.61,0.91,0.09
59.7,17.19,5.61,0.08,1.84,1.36,1.72,3.73,0.81,0.08
55.55,14.84,6.94,0.09,3.27,3.33,1.24,2.66,0.88,0.11
53.86,12.88,6.8,0.11,2.92,6.37,0.72,1.95,0.94,0.14
56.97,15.94,8.73,0.15,2.03,1.32,1.22,1.96,1.15,0.1
64.77,12.47,7.2,0.08,3.4,1.12,0.81,1.77,0.72,0.07
63.38,13.96,4.19,0.04,1.68,3.24,1.2,3.09,0.6,0.09
62.81,14.18,5.01,0.07,2.14,3.17,1.57,3.34,0.77,0.12
60.66,16.44,5.1,0.07,2.17,1.91,1.92,3.87,0.69,0.12
58.19,17.74,5.76,0.08,1.81,1.12,1.97,4.05,0.75,0.09
59.36,16.64,5.86,0.09,2.14,1.9,1.67,3.77,0.88,0.1
57.5,17.95,6.34,0.11,1.9,1.03,1.49,4.4,0.73,0.1
58.08,18.03,6.48,0.08,2.16,1.32,1.53,3.42,0.91,0.08
58.57,17.76,7.02,0.08,2.33,1.72,2.21,3.43,0.96,0.08
54.63,16.66,8.01,0.1,4.02,3.1,1.5,3.11,0.92,0.13
56.39,14.16,8.9,0.15,5.98,3,1.24,1.66,1.11,0.14
60.59,14.82,7.42,0.15,1.88,1.34,1.25,1.77,0.88,0.1
57.25,14.57,9.45,0.18,2.32,1.93,0.97,1.68,1.05,0.1
64.84,13.17,8.03,0.14,4.06,0.72,2.09,1.62,1.03,0.09
67.08,14.28,4.6,0.04,1.82,0.75,0.95,3.19,0.57,0.11
59.68,13.86,5.59,0.07,2.36,4.48,2.24,2.69,0.95,0.11
57.33,17.56,6.46,0.12,2.66,1.74,1.82,3.36,0.89,0.09
54.17,17,7.57,0.1,2.48,2.01,1.39,3.37,0.92,0.11
54.89,16.73,7,0.07,3.38,2.61,1.45,2.97,0.92,0.09
37.36,11.07,5.51,0.08,4.61,16.11,0.62,1.72,0.89,0.18
50.93,14.64,9.16,0.12,4.24,3.97,0.87,2.01,1.11,0.1
52.37,18.42,11.59,0.09,3.94,1.91,1.55,2.94,1.25,0.08
62.22,14.26,8.99,0.13,2.82,1.82,1.34,1.04,1.4,0.09
67.35,13.94,7.28,0.13,1.97,1.29,1.14,1.96,1.32,0.08
63.16,14.58,9.17,0.15,3.17,0.96,0.85,1.76,1.08,0.09
65.04,13.77,8.37,0.12,3.31,1.16,0.94,1.88,1.08,0.08
65.92,13.35,7.81,0.13,3.59,0.9,1.4,1.82,0.76,0.09
58.69,15.99,4.5,0.04,1.94,2.78,1.7,3.24,0.53,0.11
53.62,12.38,5.5,0.06,3.96,7.52,1.01,2.63,0.78,0.16
54.06,12.49,7.84,0.1,4.52,5.82,1.36,2.02,1.13,0.2
51.04,12.82,8.09,0.1,3.92,8.16,1.53,1.85,1.29,0.2
57.08,12.07,8.56,0.1,3.78,5.29,1.68,1.94,1.17,0.21
57.09,14.07,7.71,0.11,5.12,2.58,1.22,2.01,0.96,0.15
58.53,13.59,7.67,0.11,3.44,2.95,1.42,1.52,1.04,0.11
62.62,14.38,8.98,0.11,2.89,2.12,1.12,1.58,1.08,0.11
64.13,12.74,8.47,0.16,4.82,0.85,1.06,1.75,0.95,0.08
69.99,12.72,7.14,0.12,2.54,0.73,0.96,1.92,1.01,0.08
58.11,13.27,9.08,0.13,4.69,1.06,1.78,1.53,1.01,0.09
58.61,13.77,10.34,0.13,4.89,1.33,3.16,1.99,1.03,0.08
60.31,13.36,8.65,0.15,4.78,1.57,2.57,1.54,0.94,0.12
56.06,16.86,5.96,0.09,2.84,1.64,1.18,3.7,0.99,0.14
53,13.49,6.6,0.11,4.64,5.72,0.94,2.39,0.8,0.13
48.92,13.72,6.61,0.08,2.47,10.02,1.27,2.19,0.91,0.11
63.26,13.24,5.54,0.08,2.59,3.6,2.69,2.04,0.77,0.15
53.17,15.95,8.68,0.12,2.99,4.18,1.52,1.85,1.02,0.16
58.17,14.56,9.13,0.14,3.05,2.99,1.86,2.55,1.17,0.1
55.56,12.88,10.14,0.12,6.49,1.6,1.83,3.81,1.12,0.11
51.07,14.21,11.17,0.17,7.33,1.58,2.24,3.45,1.29,0.09
52.46,14.28,11.17,0.36,7.77,1.04,1.89,3.15,1.15,0.11
55.22,14.2,11.12,0.16,5.77,0.93,2.97,2.62,1.21,0.1
54.83,12.69,11.49,0.14,5.97,2.21,2.98,1.61,1.31,0.12
55.73,13.05,10.87,0.16,4.25,3.06,2.12,1.04,1.35,0.11
53.83,12.62,12.11,0.15,4.51,3.31,2.23,1.52,1.28,0.1
50,12.88,4.96,0.09,3.15,9.41,1.03,2.41,0.7,0.12
57.66,13.33,5.15,0.08,3.41,5.6,1.83,1.58,0.75,0.1
57.43,16.65,7.05,0.08,2.88,2.76,2.81,1.43,1.06,0.13
58.22,17.16,5.44,0.08,1.73,3.37,4.64,2.3,0.71,0.11
58.38,15.13,7.64,0.09,2.47,3.52,3.41,1.75,1.11,0.09
56.57,15.3,8.26,0.12,3.32,3.01,2.1,2.31,0.85,0.14
60.52,14.95,6.36,0.09,2.5,2.13,2.4,2.39,0.85,0.1
59.44,14.53,10.15,0.16,3.21,1.3,2.36,2.28,1.21,0.13
56.45,14.35,11.06,0.17,4.71,1.15,1.81,3.16,1.28,0.09
54.86,13.11,11.18,0.17,6.08,1.77,2.42,2.54,1.2,0.09
65.11,14.55,5.42,0.08,1.88,1.95,3.02,2.27,0.69,0.1
60.15,16.38,8.54,0.1,2.18,1.65,2.58,2.14,0.99,0.08
62.46,18.01,5.32,0.08,1.36,1.49,3.14,3.42,0.58,0.07
62.91,14.89,5.8,0.08,2.81,2.14,2,2.17,0.88,0.1
56.38,16.57,7.5,0.08,2.79,3.36,2.87,1.33,1.14,0.16
60.91,15.93,5.78,0.07,2.17,2.6,3.75,1.59,0.94,0.11
57.29,16,6.57,0.08,2.37,3.1,3.62,2.28,0.84,0.11
58.42,15.42,7.53,0.09,2.57,2.6,3.33,2.36,0.84,0.11
56.21,14.65,8.07,0.09,3.01,3.84,1.9,2.25,0.92,0.14
56.22,14.46,7.68,0.1,3.52,3.43,2.14,2.01,0.96,0.14
45.83,11.37,14.62,0.16,8.24,4.4,1.73,1.2,1.17,0.08
57.69,14.6,10.64,0.11,3.36,1.33,3.13,2.09,1.34,0.08
60.56,15.55,8.72,0.11,2.4,2.22,3.27,1.63,1.24,0.1
61.85,15.39,7.2,0.09,2.51,2.12,3.04,1.71,0.94,0.08
59.72,14.69,7.85,0.11,2.31,3.39,2.24,2.57,0.88,0.11
60.28,16.59,8.96,0.14,2.79,2.11,1.96,2.22,0.87,0.08
62.39,14.09,5.73,0.07,2.5,2.68,2.87,1.85,0.85,0.11
57.55,16.89,7.48,0.09,2.33,3.34,2.48,1.76,0.95,0.11
59.99,16.28,6.04,0.08,2.22,2.79,2.76,1.96,0.93,0.12
56.82,15.49,7.91,0.1,2.23,3.74,3.25,1.98,1.03,0.1
59.14,15.58,6.08,0.08,1.82,2.94,3.65,2.39,0.89,0.1
56.22,16.33,8.1,0.1,2.66,2.55,2.56,2.6,0.91,0.11
56.93,14.24,9.37,0.14,4.4,2.54,3.02,1.92,1,0.1
52.49,14.44,12.19,0.15,4.45,3.1,2.52,1.88,1.11,0.11
66.01,15.85,4.74,0.07,1.72,1.3,3.39,2.82,0.55,0.07
60.68,15.68,7.49,0.1,2.65,2.24,3.02,2,0.99,0.1
60.04,16.18,7.49,0.09,2.01,2.73,2.81,2.18,0.88,0.09
57.75,16.36,7.82,0.1,2.67,2.91,2.8,2.38,0.87,0.09
55.38,15.98,8.27,0.12,2.63,4.1,2.47,2.28,0.96,0.12
58.8,13.59,5.15,0.06,2.19,5.99,2.39,1.66,0.75,0.16
57.99,15.34,8.75,0.1,2.55,3.72,2.16,1.46,1.11,0.09
62.06,16.38,5.36,0.07,1.91,2.56,2.59,2.23,0.71,0.09
59.17,15.1,6.76,0.09,2.13,3.16,3.08,2.03,0.89,0.09
59.96,16.29,5.92,0.1,1.91,2.59,3.6,2.43,0.82,0.08
51.59,13.37,9,0.19,6.72,1.96,2.59,2.88,0.98,0.14
48.72,13.29,11.17,0.16,8.82,1.49,3.1,2.45,1.11,0.11
55.27,14.04,10.7,0.14,3.82,3.34,3.14,1.59,1.33,0.14
61.19,15.5,4.71,0.07,1.88,3.9,4.46,1.94,0.71,0.07
63.17,16.58,5.55,0.08,1.79,2.66,3.97,1.32,0.95,0.06
56.79,15.34,9.25,0.12,3.1,3.21,2.49,1.61,1.23,0.12
58.49,17.03,7.74,0.09,2.72,2.34,2.96,2.02,0.98,0.1
61.11,16.75,7.64,0.09,2.33,1.87,2.4,2.19,0.83,0.07
59.52,13.91,8.77,0.1,2.59,3.79,2.23,1.57,1.26,0.15
58.9,13.95,7.02,0.09,2.67,3.47,2.39,2.1,0.89,0.12
60.98,15.95,5.9,0.08,2.09,2.28,3.14,2.34,0.82,0.08
57.77,15.22,7.33,0.1,3.4,1.93,2.86,2.22,0.86,0.1
49.91,14.08,11.05,0.14,7.12,1.91,2.9,1.99,1.19,0.11
57.97,15.51,6.84,0.11,2.82,1.68,2.68,3.04,0.77,0.09
63.09,17.02,5.95,0.08,2.21,1.39,4.4,1.76,0.7,0.07
64.1,15.24,4.54,0.06,1.8,2.23,4.8,1.38,0.67,0.08
57.35,16.01,5.7,0.08,1.98,5.31,4.83,0.79,1.06,0.14
55.69,16.7,9.06,0.11,2.85,3.88,3.31,1.22,1.35,0.18
60.14,17.05,7.07,0.1,2.25,2.89,3.43,1.32,1.04,0.07
52.29,14.7,9.26,0.14,2.99,3.65,2.53,1.8,1.09,0.11
55.11,18.72,9.56,0.1,2.16,0.83,1.01,2.9,1.48,0.07
61.02,14.72,10.02,0.1,2.01,0.85,1.24,1.8,2.01,0.07
60.64,13.39,8.36,0.16,2.89,1.86,0.96,1.24,1.09,0.1
60.49,13.52,7.08,0.12,2.65,2.33,0.91,2.03,1.19,0.17
65.88,12.98,5.87,0.11,1.67,1.37,0.52,1.98,0.95,0.09
65.86,12.13,5.73,0.07,2.1,1.7,0.97,1.92,0.99,0.11
53.92,14.82,9.39,0.11,2.71,3.99,1.4,1,1.06,0.08
57.79,16.43,7.75,0.1,1.98,3.16,1.77,1.64,1.01,0.08
57.12,15.2,8.87,0.1,2.59,3.25,1.86,0.9,0.94,0.08
56.95,14.96,7.67,0.1,3.01,2.7,1.95,1.31,0.97,0.06
61.25,14.08,6.9,0.11,2.26,2.82,1.9,2.02,0.95,0.07
59.4,14.19,6.71,0.14,2.16,3.72,2.24,2.01,0.94,0.09
62.95,13.98,5.32,0.08,1.71,2.78,2.4,2.55,0.81,0.1
57.73,14.46,9.41,0.17,3.19,1.76,1.08,1.59,1.43,0.11
59.98,14.48,8.24,0.11,2.52,1.71,1.04,2,1.08,0.09
57.54,13.07,6.13,0.11,3.53,4.95,0.78,1.77,0.78,0.11
67.38,12.55,5.39,0.07,1.77,0.92,0.45,2.34,0.78,0.09
68,11.62,5.12,0.08,1.66,1.93,0.5,1.85,0.94,0.08
61.83,13.85,6.65,0.09,3.02,2.23,1.32,1.69,1.1,0.09
59.94,14.79,7.04,0.1,2.25,2.23,1.36,1.72,1.09,0.11
58.16,14.84,5.96,0.09,1.87,3.5,1.61,1.81,0.83,0.12
58.83,14.88,6.72,0.09,2.17,2.99,1.84,1.63,0.91,0.11
60.44,15.23,7.21,0.12,2.04,2.53,1.17,1.9,0.98,0.07
61.85,14.65,5.55,0.1,1.55,2.29,2.12,2.51,0.82,0.1
62.66,14.34,5.7,0.1,1.6,2.93,2.63,2.26,1.03,0.07
58.75,15.23,6.68,0.1,1.66,2.77,1.9,1.81,0.81,0.08
57.07,15.39,8.94,0.13,2.51,1.94,1.13,1.74,1.03,0.14
62.03,13.62,6.71,0.09,2.89,2.09,0.89,1.76,0.84,0.1
61.19,13.17,7.66,0.11,3.4,1.53,1.01,2.21,0.76,0.1
55.55,12.24,5.48,0.09,2.24,4.51,0.77,2.23,0.84,0.16
60.64,14.69,6.45,0.1,1.71,2.51,1.32,2.07,0.9,0.09
58.07,12.92,6.29,0.09,2.68,4.58,1.33,1.52,1.21,0.16
64.57,14.72,5.07,0.08,1.43,1.67,2.45,2.2,0.85,0.08
61.8,14.87,6.13,0.08,1.65,2.36,2.3,1.71,0.99,0.09
59.24,15.32,6.02,0.11,1.63,2.43,1.68,1.99,0.77,0.08
61.42,14.04,5.69,0.1,1.48,2.29,2.05,2.68,0.84,0.17
62.46,13.96,4.75,0.09,1.63,2.26,2.38,2.42,0.75,0.13
59.84,15.4,5.69,0.08,1.77,2.49,2.47,2.26,0.81,0.08
56.33,15.46,7.31,0.12,2.13,2.69,1.67,2.13,0.92,0.09
61.19,13.2,6.35,0.08,2.38,1.12,0.77,2.26,0.86,0.13
62.07,13.31,6.52,0.12,2.46,1.37,0.86,2.13,0.85,0.12
61.2,12.14,6.12,0.12,2.63,2.03,0.9,1.99,0.82,0.12
57.75,14.56,7.64,0.09,2.84,2.66,1.2,2.01,0.8,0.1
63.47,12.56,8.08,0.09,4.14,0.83,1.41,1.25,1.4,0.08
63.86,13.62,6.4,0.09,2.06,2.43,1.95,1.8,0.91,0.09
66.12,14.58,5.35,0.08,1.6,1.74,1.77,1.48,0.79,0.06
61.31,15.05,6.29,0.09,1.64,2.4,2.01,1.53,0.91,0.09
64.59,14.59,4.78,0.08,1.53,1.98,1.62,2.01,0.75,0.08
65.04,13.61,4.75,0.08,1.49,2.28,1.54,2.13,0.79,0.14
64.05,14.03,4.67,0.08,1.75,2.27,1.82,2.23,0.82,0.09
60.73,15.75,6.43,0.08,2.1,1.73,1.57,1.84,0.92,0.07
59.24,15.85,5.52,0.07,2.18,1.97,1.95,1.78,0.81,0.1
60.1,13.34,8.28,0.13,3.06,1.25,1.23,1.64,1.06,0.18
58.39,14.23,8.1,0.15,3.4,2.13,1.15,1.84,0.99,0.1
56.01,14.71,9.14,0.13,4.08,2.78,0.99,1.78,0.71,0.12
54.46,14.29,9.55,0.13,4.88,2.58,1.37,1.65,1.09,0.09
56.63,14.23,7.69,0.11,3.79,2.86,2.01,1.88,0.97,0.13
62.26,13.7,6.81,0.09,2.89,2.79,1.67,1.61,0.96,0.11
60.45,14.78,6.8,0.09,1.93,3.19,1.78,1.44,0.96,0.08
59.56,15.39,6.79,0.09,1.91,2.89,1.53,1.56,0.87,0.08
59.9,16.6,6.5,0.1,1.51,2.54,1.55,1.57,0.88,0.06
58,15.03,6.38,0.1,1.81,2.44,1.73,2,0.92,0.14
60.05,14.27,6.19,0.09,1.97,4.34,1.04,1.82,1.14,0.11
60.57,14.7,5.99,0.09,2.33,2.1,1.37,1.79,0.99,0.09
60.06,14.98,5.82,0.09,2.19,2.45,1.5,2.2,0.92,0.16
59.44,14.88,10.54,0.19,3.01,0.83,1,2,1.02,0.1
64.16,13.49,8.68,0.14,3.26,1.23,0.68,1.74,1.01,0.1
56.94,12.54,8.71,0.1,6.49,3.19,0.95,1.38,1,0.11
55.12,12.24,8.58,0.11,4.33,6.21,1.57,1.38,1.08,0.08
59.09,14.95,6.72,0.1,2.18,4.04,1.87,1.81,0.94,0.11
66.22,12.24,5.18,0.08,1.84,3.69,2.48,1.4,0.94,0.13
60.28,13.1,6.78,0.1,1.99,3.54,1.76,1.51,0.79,0.12
58.82,14.55,7.11,0.1,1.92,2.67,1.38,1.37,0.9,0.11
61.79,14.92,5.92,0.09,1.66,2.33,1.55,1.65,0.73,0.08
62.21,15.19,5.02,0.09,1.57,2.24,2.1,2.39,0.81,0.08
59.43,16.81,5.11,0.09,1.84,2.26,2.54,2.4,0.89,0.09
60.72,14.29,6.95,0.1,2.41,3.35,1.32,1.6,1.14,0.09
57.86,15.9,7.39,0.1,2.3,2.49,0.98,1.83,1.25,0.11
58.54,11.98,7.27,0.11,4.85,3.03,1.77,1.37,1.03,0.12
57.52,13.16,9.31,0.14,4.66,1.76,1.95,1.72,1.22,0.11
56.97,13.8,7.09,0.1,2.07,1.87,1.61,2.47,1.02,0.13
57.38,15.5,7.17,0.09,2.62,2.13,2.9,1.97,0.86,0.11
59.86,14.25,6,0.09,2.28,3.62,2.81,1.5,0.97,0.09
58.8,15.39,6.53,0.09,2.29,3.4,2.55,1.44,0.93,0.09
58.57,15.05,6.6,0.1,2.06,4.09,2.63,1.66,0.98,0.08
60.71,14.45,6.15,0.09,2.28,3.19,3.25,1.33,0.87,0.1
60.2,15.04,5.02,0.07,1.58,3.26,2.9,1.91,0.78,0.08
60.14,14.11,6.3,0.09,1.57,2.65,1.22,1.84,0.88,0.08
57.3,15.21,6.34,0.11,1.72,2.07,2.91,2.03,0.94,0.09
59.09,14.76,5.28,0.11,2.05,2.74,2.38,1.94,0.85,0.09
56.08,14.75,8.54,0.11,2.42,2.5,1.08,1.66,1.66,0.1
54.83,13.85,10.88,0.14,3.25,2.84,2.6,1.65,1.24,0.2
51.54,12.9,11.31,0.17,4.08,3.51,1.62,1.63,1.11,0.14
56.55,14.66,7.92,0.11,3.01,2.76,2.59,2.07,0.8,0.17
55.51,15.16,9.24,0.13,3.05,4.48,2.29,1.89,0.96,0.2
60.1,14.46,6.41,0.09,2.64,4.44,3.13,1.73,0.84,0.11
58.04,14.94,6.74,0.1,2.56,3.22,2.44,2.06,0.88,0.1
57.53,15.65,7.11,0.09,2.41,2.37,3.77,0.98,0.93,0.07
61.32,16,5.64,0.15,1.49,1.7,4.05,1.09,0.77,0.07
61.73,15.85,5.77,0.07,1.76,1.94,3.57,1.51,0.8,0.08
57.22,15.94,7.33,0.09,2.18,3.08,2.17,1.72,0.97,0.09
55.08,16.53,5.63,0.08,3.32,2.25,2.07,2.13,0.77,0.1
60.76,15.53,4.99,0.08,1.73,2.6,1.68,2.25,0.77,0.1
63.66,14.42,5.07,0.09,1.67,2.38,1.4,2.37,0.83,0.09
53.82,15.09,8.38,0.13,2.87,2.46,2.38,2.45,0.87,0.13
56.62,14.42,7.13,0.11,3.05,2.27,2.49,2.44,0.85,0.22
53.43,15.12,8.85,0.11,3.37,2.98,2.57,2,0.98,0.16
54.44,14.62,8.43,0.1,3.01,3.55,2.03,2.26,0.99,0.15
50.73,15.63,8.16,0.11,2.81,2.81,1.93,2.44,0.95,0.1
60.66,14.94,5.35,0.07,1.87,2.58,2.66,2.99,0.81,0.11
60.83,14.89,6.11,0.08,2.15,2.66,2.25,2.56,0.96,0.06
56.05,14.05,7.72,0.1,3.19,2.55,1.78,2.55,0.9,0.11
60.37,15.81,5.44,0.08,1.85,2.85,3.76,1.67,0.82,0.09
57.02,15.01,6.73,0.09,2.25,3.37,3.04,1.83,0.96,0.12
64.88,15.84,3.1,0.06,0.96,1.27,4.09,2.42,0.57,0.06
59.94,15.26,5.49,0.07,2.31,1.35,2.54,1.3,0.99,0.08
60.48,15.85,4.63,0.06,2.03,1.3,2.35,2.61,0.65,0.06
52.9,16.85,7.54,0.15,2.22,1.83,2.29,2.95,0.86,0.11
53.05,14.78,8.93,0.09,3.59,3.18,2.55,1.38,1.18,0.17
51.78,16,8.21,0.11,2.15,2.38,1.68,2.52,0.92,0.1
52.57,15.52,9.14,0.1,3.31,3.26,2.74,1.69,1.05,0.17
54.38,15.59,6.78,0.09,2.09,2.7,2.02,2.18,0.93,0.08
54.52,16.06,7.02,0.08,2.12,2.6,2.13,2.1,0.96,0.08
55.75,16.07,5.21,0.07,1.3,1.98,2.4,2.88,0.72,0.11
58.35,16.29,6.02,0.1,1.58,2.58,2.71,2.1,0.75,0.08
57.08,16.25,6.78,0.1,1.71,2.98,2.28,1.98,0.86,0.08
57.55,16.24,8.06,0.11,1.82,2.3,2.33,2.16,0.86,0.1
56.71,16.54,4.45,0.07,1.83,1.81,3.73,2.43,0.82,0.11
63.94,15.62,4,0.06,1.46,1.04,3.22,2.02,0.63,0.08
60.67,15.93,6.14,0.07,1.64,1.71,2.2,2.06,0.9,0.1
54.34,17.32,8.16,0.12,2.21,2.09,1.81,3.18,0.88,0.1
59.81,14.98,5.56,0.08,1.96,2.98,2.05,2.36,0.95,0.1
59.91,15.31,5.97,0.08,2.16,2.74,1.93,2.5,0.95,0.07
54.72,15.48,8.45,0.1,3.27,3.18,2.26,1.46,1.03,0.1
63.01,15.26,5.07,0.08,1.43,2.55,2.21,2.76,0.81,0.06
56.41,16.17,7.82,0.1,2.19,2.98,1.71,1.97,1.08,0.11
57.6,15.87,7.41,0.09,2.29,2.8,1.9,2.34,0.99,0.11
57.91,15.98,7.65,0.1,2.14,2.98,1.8,1.88,1.02,0.06
57.5,15.47,7.91,0.1,2.53,3.12,1.66,1.96,1.01,0.08
62.17,15.92,5.68,0.09,1.85,1.86,2.14,2.23,0.78,0.09
61.38,15.29,5.88,0.08,2.09,2.23,2.49,2.13,1.04,0.11
58.06,15.51,5.49,0.07,2.59,1.53,3.19,2.27,0.71,0.1
60.76,15.37,7.22,0.12,2.38,1.99,1.69,1.98,1.08,0.1
56.6,16.15,8.04,0.12,2.31,2.91,1.98,2.41,0.89,0.08
60.19,15.44,5.57,0.08,1.54,2.63,2.1,2.7,0.94,0.08
57.84,15.37,5.64,0.08,1.86,3.26,2.05,2.59,0.87,0.1
58.81,15.35,6.67,0.08,2.14,2.46,1.82,2.63,0.82,0.14
57.22,16.35,6.34,0.08,2.36,3.22,1.97,2.52,0.86,0.09
56.92,14.53,7.87,0.1,2.57,2.94,1.59,2.37,1.13,0.09
58.5,15.13,6.54,0.08,2.18,2.67,1.75,2.6,0.89,0.09
59.04,16.16,6.84,0.09,2.16,2.24,1.67,2.84,0.93,0.09
55.61,15.18,8.03,0.1,2.68,3.02,1.46,2.18,0.96,0.1
