SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 
49.26,13.23,8.62,0.1,4.9,7.84,1.45,1.7,1.16,0.15
53.73,16.49,10.24,0.11,4.07,2.86,1.11,2.92,1.12,0.12
52.48,13.72,6.95,0.09,5.39,5.24,1.11,2.85,0.94,0.2
51.14,17.17,7.16,0.08,4.85,4.71,2.56,2.18,0.82,0.15
57.51,12.8,6.28,0.09,3.39,6.07,1.22,2.62,1.01,0.16
53.28,14.6,7.81,0.1,6.63,4.12,0.06,2.66,1.01,0.2
62.39,15.14,5.39,0.07,2.34,3.43,1.08,2.79,0.79,0.12
62.32,15.36,5.81,0.07,2.49,3.48,1.01,2.98,0.82,0.12
60.53,15.81,6.38,0.07,2.61,3.31,0.95,3.17,0.86,0.13
67.48,12.15,6.91,0.09,2.6,1.95,0.09,1.93,0.81,0.09
67.79,12.18,6.92,0.1,2.76,1.95,0.08,1.93,0.82,0.08
65.27,12.96,6.61,0.1,2.22,3.03,0.28,2.28,1.06,0.21
56.33,10.88,5.58,0.07,5.06,6.45,0.15,2.63,0.79,0.17
54.66,10.46,6.89,0.09,5.82,6.76,0.14,1.9,0.93,0.17
47.6,10.64,6.43,0.08,7.19,9.08,0.93,2,0.89,0.22
58.23,15.69,7.85,0.1,3.47,2.29,1.28,3.05,1,0.11
58.18,13.44,6.3,0.09,3.15,4.02,1.67,2.4,1.02,0.15
57.8,13.95,5.34,0.09,4,5.32,0.16,3.6,0.87,0.18
51.25,17.08,7.94,0.08,3.94,4.44,1.73,3.59,1.02,0.16
58.8,14.65,7.56,0.1,3.79,3,1.31,2.89,0.95,0.14
65.22,11.94,6.92,0.1,2.95,3.5,1.86,1.64,0.85,0.15
68.87,11.26,7.37,0.1,3.82,3.35,2.22,1.26,0.98,0.14
67.02,11.05,6.93,0.1,2.65,3.32,2.46,1.65,0.86,0.15
53.42,11.57,7.99,0.11,4.2,5.78,1.94,1.67,1.22,0.36
61.32,11.64,7.15,0.1,3.48,4.23,0.22,2.05,0.94,0.18
44.04,11.87,5.7,0.07,6.9,11.11,1.39,2.24,0.87,0.4
50.25,14.31,7.88,0.1,4.3,7.02,1.22,3.25,1.21,0.22
59.8,12.88,5.71,0.1,2.97,3.83,1.53,2.46,0.92,0.17
56.49,15.48,7.49,0.09,3.88,3.23,1.06,2.87,0.95,0.1
56.09,16.23,7.41,0.09,3.52,2.71,1.16,3.4,0.99,0.12
65.06,12.2,7.53,0.1,2.63,2.24,1.5,2.11,0.77,0.11
63.05,11.42,7.51,0.11,3.03,3.79,2.42,1.05,1.04,0.09
65.97,11.47,7.65,0.1,3.15,3.47,1.83,1.55,0.86,0.13
59.01,12.34,6,0.09,3.3,4.05,1.74,2.22,0.75,0.2
55.79,13.27,8.75,0.11,4.44,5.08,1.24,1.8,1.1,0.16
62.49,11.12,7.27,0.11,3.34,4.4,0.13,2,0.85,0.24
61.04,11.71,9.67,0.15,3.4,3.93,0.11,1.65,0.99,0.12
67.28,11.8,5.87,0.12,2.17,3.45,0.24,1.81,0.7,0.11
60.85,13.73,7.61,0.1,3.22,3.12,1.34,2.45,1.02,0.15
61.44,14.08,7.24,0.1,3.13,3.04,1.51,2.27,0.96,0.12
