,SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 ,Ba ,Ga ,Sc  ,V ,Th ,Pb ,Ni ,Co ,Rb  ,Sr ,Y ,Zr ,Nb,Cr ,Cu ,Zn,Be ,Ge ,La ,Ce,Pr ,Nd,Sm ,Eu ,Gd,Tb ,Dy ,Ho ,Er,Tm,Yb ,Lu ,Hf ,Au 
0,0.1871792880899258,-1.1132770141659856,0.8687386313625708,0.3402221155792381,0.4062695449239678,0.27879173889205344,0.7111131996023321,-1.3773210269393426,1.367850030297254,-0.35495213523198454,-1.0047487534199289,0.24811201563950366,0.1502845440078564,-0.13952959132222575,-1.1195839386124917,-0.5742919819138592,1.7503579789501176,0.8430664759066981,-1.0521780042274869,1.1941984438500164,0.02353550946189274,-0.03978193997306441,0.53655737158733,2.007378654924269,-0.35349271762595635,-0.018999657058209052,-0.012592926726488126,1.993770406112216,-0.8404328324003634,-0.8080941616742764,-0.8144707821659635,-0.18260576339868442,0.2504365935271416,-0.49442767082150096,-0.42038295953622645,-0.2219634013715619,-0.0210299937529551,-0.28331611461036404,0.13012482297939526,-0.1431004266531247,-0.011095186044172598,-0.1071646729503247,-0.22420267052041984,0.6752697076953187
1,0.9955152105896088,-0.9464950881303477,0.6482999056593539,0.004587074761317862,-0.14529853437371454,0.028277043365780557,0.5697924111824026,-0.7424294113189518,0.07475831674607142,0.05765954113579963,0.2721413129817091,-0.31379431234308863,-0.2623215451817193,-0.5138587562044702,-0.9286079995658093,-0.14719238135252719,0.9635587253185046,0.6572131942220708,-0.09316993360476573,0.3488880028718524,2.0449378231858555,1.7743827320291115,0.7978890115824445,0.9077247932296749,0.49529296425538105,0.016267089884092766,-0.214142244301294,1.3994701197645047,-0.2447582386345004,-0.10781497853795449,-0.28302087189206665,0.273018143441188,0.8322785991729982,-0.31903806784147765,0.519409771312006,0.8978902807038764,1.3863460704156216,1.3245513475040243,1.7437101555301238,1.700053361717486,1.8599283407665743,2.2757824065499097,2.1464741031114922,-0.32086519677657277
2,0.3579240417730136,-1.4992580429913194,1.0243424377413115,0.1724045951702781,1.126112631465011,0.5728742075533304,-0.01904420723396929,-0.5480748351086282,0.49039493895895186,1.157957344783224,0.2431077613022601,-0.5210248294619424,-0.2623215451817193,0.0547944698045676,-0.7558492485745691,-0.14719238135252719,1.8507140524446872,0.6572131942220708,-0.21234234618611192,0.6540700003088037,2.1202530767687127,1.384344967077952,0.7978890115824445,3.6394986700751364,0.49529296425538105,0.6322379055749872,-0.2803177156881822,1.6013153170323935,-0.2690431046196313,-0.22246745818654642,-0.34761887412051234,0.20437148119962595,0.8339310682482829,-0.222636246770898,0.5010482198054875,1.078450069098259,1.4281967939187963,1.3230101292348169,1.7665334392578238,1.610768996403964,1.7580137917558172,1.7126948854782555,1.4845175336320733,-0.32086519677657277
3,0.7469627210509351,-1.3467717106158787,0.9076395829572559,0.1724045951702781,0.37822371038340785,0.4911846329251977,0.41669489039414603,-1.00156884626605,0.4442130920464096,0.33273399204765564,-0.5749663923073925,-0.31379431234308863,0.1502845440078564,0.09259756954043184,-1.3330768747262296,-0.052583001569762526,1.2031036681865601,0.6572131942220708,-0.5334700182378719,0.7632663913561281,1.9682147266268426,1.832786786362323,0.9208131602111564,1.1747819091250349,0.1425159387748098,0.31272152988001134,-0.21582819555485883,1.289913189435327,-0.6702992371123363,-0.6628656880028543,-0.6493193662238682,0.0022600391389388506,0.576676854700563,-0.28136799347997155,0.28338425607991585,0.7761621876256832,1.2517394146636982,1.2671949597113532,1.7469792721991302,1.676126878018932,1.7965153656628234,2.3447942681266314,2.1258021077902503,-1.0276341592086824
4,-0.15431021927625144,-0.45091450791016585,0.8233541878354379,0.1724045951702781,0.8643515090864501,0.1154125896357886,0.03983945460766798,0.1386446675011826,0.21330385748369823,0.607808442959512,-0.2754630666011144,0.06980866159426843,0.8937385084552589,0.01664613150397184,-0.7558492485745691,-0.4592174387434474,0.5283231135564582,0.34716311909959907,0.414655211394399,0.48657936121982887,2.1202530767687127,1.2032025381660099,1.4720833612980948,0.40682862488604676,0.08673229130924792,0.31272152988001134,0.49109873012171695,-0.7561699506643751,-0.12741281146122668,-0.11955606879909893,-0.24297797275503893,0.2842072196757232,0.8018023243399564,-0.15634406811497356,0.5230938943098794,1.0475573895754684,1.6796511388634814,1.6832944211981606,1.9897779503775201,2.148127922859328,2.160428754854078,2.1874031813578316,1.5767225517098642,-0.32086519677657277
5,0.32334282583719753,-0.38420173749591124,0.32412530903697684,0.004587074761317862,1.0045806817892506,-0.05341253126235187,0.3342577638158541,0.009074950027633337,-0.15615091781663942,-0.21741490977605657,0.13477028456319037,0.5816119112351652,0.5344116231720448,0.1671926591563293,-0.5981328656906261,-0.3500468122404381,0.6962390457013177,0.34716311909959907,-0.006878369031853625,0.8675100751522701,0.7092200517159388,0.6201009452160975,0.2514368960499461,0.8266395097892119,0.08673229130924792,-0.018999657058209052,0.14740750533151337,-0.6333187437119693,-0.3508234428223689,-0.29077783322351874,-0.43790056036103714,0.10252535562167837,0.513572324271633,-0.33665615592497666,0.05507180787648279,0.22689644628246225,0.5924073571167164,0.4935120566657593,0.7294899971934403,0.702116991792538,0.8415178438771481,0.7960856640165882,0.9502285296282685,-0.32086519677657277
6,0.9220301267260005,-0.44138411213670103,0.12313705913110333,0.004587074761317862,0.7147737248701292,-0.31481917007237575,0.12227658118595991,0.047945865269697824,-0.38706015237935076,-0.49248936068791277,0.033610324709211416,0.24811201563950366,-0.2623215451817193,-0.09993484926357515,-1.1195839386124917,-0.4592174387434474,0.7758271407059026,0.34716311909959907,-0.06412174652595386,0.5524508721767208,0.02353550946189274,-0.1615144909091707,-0.4108404657876943,1.2289215092128263,-0.35349271762595635,0.21783239116187905,-0.20555269254696806,-0.5412985554300718,-0.289496295090152,-0.2978802607660346,-0.39935722736879076,0.12587398415940895,0.5095698409064368,-0.4236257260637323,-0.07884296155973684,-0.0011726032793876115,0.2449594017160356,0.1510365345967992,0.462433051922896,0.40436624283708844,0.5191784779465012,0.46805462409833104,-0.21253647730379044,-1.0276341592086824
7,0.5848632713518009,-0.24601099878066793,0.08423610753641833,0.004587074761317862,0.4623612140050881,-0.1677779357417373,-0.5489971638087042,0.6050956504059594,0.02857646983352915,0.19519676659172783,0.2624873682437526,0.8884020756466531,0.8937385084552589,-0.34333654871575053,0.32778708239165916,0.5129291460365228,1.0692791652492915,1.1753361126477717,0.4633116496362157,0.3770939817457684,0.3806794627050994,0.30828447210677257,-0.23169662077947656,0.6133317759055175,0.30124374790223185,0.2498720189735392,0.08458998194342529,0.3632626036276363,0.3105321738139593,0.35808869143127425,0.09655401065190285,0.5644439062418547,1.1461905833116357,-0.36440689493029205,0.42503152173091396,0.6050488361734632,1.0524911838271294,1.0331352191855576,0.9979659664095583,1.2763297823175597,1.202566514415476,1.1280043820633376,1.6717205884810273,-0.32086519677657277
8,1.5639439475345718,-1.713691947894282,-0.3177403922753293,0.1724045951702781,-0.22943603799539478,0.17531827769641903,-0.3841229106521201,-0.40554814588772425,-0.01760537707901312,0.19519676659172783,0.8451692693134987,-1.2198325286306286,-1.1924176003407692,-2.2075732869814813,-0.3187201212589,0.20835894948558337,-0.12112788707113191,-0.43410067356060295,-0.06412174652595386,0.6910481451915811,0.4931403648870982,0.4246671618926239,-0.23169662077947656,-0.11320064179789278,-1.010651522245593,0.016267089884092766,0.010026324069735857,1.2116504368473806,0.19366746853105865,0.20710161804275573,-0.064752946100831,0.43774527003428176,0.8289694051271829,-0.382944369177067,0.4076757340536581,0.4840857580722832,0.5878548525270305,0.3885331341386247,0.7222273954725087,0.35782836310110094,0.5927018299150593,0.7753560192951255,0.9210018471336737,-0.32086519677657277
9,0.7556080250348888,-1.2371721592210307,-0.7132334001546295,-0.16323044564764214,0.06971953043724641,0.7798211299445993,-0.042597671970624196,-0.003882021719721876,-0.47942384620443534,0.33273399204765564,0.7439220928790196,0.41848810540283427,-0.2623215451817193,-2.4081180700494853,-0.07668179276876026,0.44077441937976597,-0.36428162822822724,-0.1434810588564014,0.15841022783620945,1.1941984438500164,0.26505023450183746,0.4472388170066322,-0.8031222870586487,-0.5097885993823219,-0.7387848428359969,0.016267089884092766,0.22151779110153308,0.5705689036520093,-0.09212619585921962,-0.08593713363229068,-0.33196292703250907,0.18103486072476255,0.5819548691101547,-0.5003714689980998,-0.11141746311732512,-0.15288246062546043,-0.18891331557893568,-0.44750490711774515,-0.2034261318546615,-0.36400968614271306,-0.22378722818018526,0.3043240299055151,0.6994577688724435,-0.32086519677657277
