SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 ,Ba ,Ga ,Sc  ,V ,Th ,Pb ,Ni ,Co ,Rb  ,Sr ,Y ,Zr ,Nb,Cr ,Cu ,Zn,Be ,Ge ,Sn,La ,Ce,Pr ,Nd,Sm ,Eu ,Gd,Tb ,Dy ,Ho ,Er,Tm,Yb ,Lu ,Hf ,Au 
68.84,13.01,4.10,0.07,1.78,2.04,1.99,2.22,0.68,0.17,345,28,11,74,16,42,26,16,107,234,34,404,28,63,29,80,2.66,1.30,,80.35,141.47,15.30,55.65,9.44,1.89,8.15,1.41,7.54,1.49,4.54,0.72,4.40,0.68,16.81,1
65.41,12.48,5.21,0.08,2.38,2.92,1.48,1.84,0.79,0.28,409,23,13,88,9,30,31,14,84,244,37,321,22,79,38,90,2.00,1.33,,62.10,105.61,12.04,47.09,8.84,1.84,7.94,1.44,8.31,1.57,4.69,0.70,4.31,0.64,12.45,1
58.18,13.97,5.24,0.07,2.78,2.72,1.76,2.16,0.81,0.09,545,21,11,111,10,25,33,15,96,239,28,330,20,94,44,57,2.00,2.14,,73.76,131.71,15.14,56.88,10.67,3.40,9.05,1.54,8.36,1.57,4.65,0.71,4.65,0.65,13.57,0.5
59.73,12.69,4.92,0.08,2.69,3.41,1.16,2.42,0.75,0.2,432,19,11,96,4,24,41,11,91,209,25,268,16,103,36,62,1.86,1.98,,52.29,95.08,11.22,42.52,8.17,2.39,6.95,1.18,6.59,1.25,3.72,0.56,3.84,0.51,9.53,0.5
60.69,12.13,4.58,0.07,2.5,4,1.77,1.92,0.8,0.08,386,18,10,105,5,24,40,14,76,197,25,328,17,124,27,47,1.58,2.05,,49.92,93.36,11.21,42.58,8.56,2.43,7.23,1.23,7.17,1.34,3.96,0.60,3.97,0.58,10.56,1
54.24,12.32,4.89,0.07,2.57,6.42,1.27,1.77,0.81,0.08,364,19,11,114,4,21,38,14,71,222,24,276,18,123,32,45,1.72,2.19,,46.35,85.92,10.21,39.91,8.02,2.52,6.87,1.24,7.17,1.40,4.07,0.66,4.26,0.59,10.48,1
62.57,10.66,3.53,0.05,2.19,4.11,1.89,1.84,0.76,0.05,363,17,8,84,6,22,28,9,63,203,23,331,15,118,20,33,1.76,1.63,,50.51,97.15,10.93,44.33,7.99,2.22,7.08,1.28,7.30,1.34,4.25,0.66,4.47,0.69,12.71,0.5
62.17,11.87,4.25,0.06,2.52,3.1,1.46,2.05,0.79,0.07,344,18,9,95,8,24,38,9,77,151,23,332,15,126,31,53,1.58,1.93,,43.63,80.79,9.40,37.84,6.93,2.04,6.31,1.14,6.49,1.21,3.78,0.59,3.99,0.58,11.22,0.5
64,10.65,3.49,0.06,2.17,4.61,1.21,1.66,0.69,0.06,313,16,8,85,4,22,31,11,61,210,22,306,14,105,35,35,1.37,1.75,,46.21,85.89,9.98,40.11,7.47,2.20,6.81,1.24,6.90,1.30,4.17,0.64,4.13,0.65,11.36,0.5
59.29,10.73,3.97,0.06,2.4,6.3,1.29,1.62,0.74,0.07,293,17,10,93,4,21,35,13,60,155,22,327,13,117,42,39,1.42,1.75,,40.02,72.29,8.39,33.91,6.09,1.88,5.68,1.05,5.64,1.08,3.37,0.54,3.43,0.52,12.69,0.5
57.14,14.62,6.55,0.08,3,2.34,1.23,2.12,1.02,0.07,351,20,13,143,7,22,55,21,82,131,24,235,14,152,47,57,1.79,2.93,,55.91,101.17,11.51,45.47,8.52,2.61,7.39,1.23,6.38,1.17,3.62,0.55,3.54,0.54,9.06,0.5
60.28,13.23,4.95,0.08,2.59,3.29,1.08,2.42,0.78,0.08,357,19,10,101,8,20,29,15,82,106,23,237,12,119,21,62,2.12,2.40,,50.32,90.97,10.82,42.72,8.04,2.27,6.96,1.22,6.47,1.18,3.56,0.52,3.45,0.54,7.82,0.5
67.96,13.80,4.59,0.07,2.05,1.81,2.20,2.34,0.67,0.10,360,29,13,85,12,39,30,19,104,231,34,321,25,60,32,80,2.95,1.25,,54.52,101.81,11.21,41.94,7.58,1.60,6.93,1.24,7.17,1.45,4.41,0.71,4.34,0.69,18.48,1
66.21,13.82,4.78,0.08,2.27,2.26,1.90,1.97,0.74,0.12,355,29,12,81,6,31,33,21,91,256,39,386,21,88,29,79,3.32,1.26,,47.72,88.50,10.03,38.12,7.30,1.53,6.63,1.27,7.07,1.48,4.54,0.77,4.61,0.73,14.64,0.5
67.87,11.95,4.19,0.07,2.23,2.90,1.83,1.85,0.65,0.28,354,25,11,67,11,38,29,15,79,236,33,333,15,86,32,84,1.93,1.21,,55.42,94.61,11.15,43.46,8.00,1.55,7.17,1.26,7.23,1.43,4.39,0.68,4.29,0.65,12.82,0.5
61.70,13.79,7.15,0.09,3.74,2.43,1.38,1.83,0.92,0.15,368,28,15,107,11,31,64,22,111,293,36,352,20,178,36,98,1.97,1.30,,44.69,86.28,10.01,39.90,8.23,1.82,7.72,1.54,9.14,1.72,5.08,0.78,4.96,0.76,15.09,0.5
60.21,13.18,5.35,0.08,2.71,3.15,1.5,2.2,0.85,0.09,437,19,11,111,6,24,46,14,86,180,26,294,16,162,37,60,1.77,2.28,,47.93,87.76,10.21,40.66,7.64,2.44,6.75,1.27,6.94,1.32,4.01,0.60,4.11,0.64,13.12,0.5
60.5,12.54,5.15,0.07,2.53,3.7,2.14,1.84,0.96,0.09,498,20,10,112,9,22,38,16,75,256,32,402,30,141,29,49,1.46,1.95,,43.11,78.92,9.23,39.01,7.84,2.82,7.38,1.46,8.60,1.70,5.32,0.84,5.51,0.83,12.94,1
56.06,13.15,5.74,0.08,2.58,5.07,1.51,1.45,1.01,0.07,383,19,12,123,6,23,49,16,72,165,29,334,28,177,39,48,1.47,2.08,,47.20,86.70,9.90,39.53,7.38,2.38,6.50,1.24,6.47,1.20,3.77,0.58,3.74,0.56,9.74,1
57.34,13.43,5.69,0.07,2.64,5.21,1.53,1.36,0.86,0.1,316,18,12,124,8,21,52,18,59,149,26,356,15,146,35,42,1.10,2.01,,40.53,74.95,8.57,34.73,6.45,2.06,5.77,0.97,5.23,0.96,3.04,0.45,2.96,0.48,8.96,0.5
45.99,10.98,4.61,0.06,2.73,13.09,1.55,1.15,0.7,0.09,214,19,14,110,4,20,37,12,47,132,22,263,13,104,124,34,0.99,1.55,,35.89,65.02,7.27,29.35,5.35,1.56,5.02,0.92,5.15,0.92,2.79,0.44,2.87,0.43,7.22,2
59.02,11.97,4.42,0.07,2.25,5.93,1.21,1.68,0.78,0.09,286,17,11,109,5,29,37,12,63,124,20,269,15,140,30,47,1.23,1.63,,34.18,62.91,7.16,29.08,5.89,1.38,5.41,1.02,6.59,1.25,4.03,0.63,4.17,0.62,7.74,0.5
56.58,16.91,6.27,0.07,2.97,2.47,1.2,2.94,0.88,0.07,445,23,14,129,11,27,54,20,130,129,25,258,16,134,48,47,2.58,2.98,,71.46,133.63,15.05,60.21,11.87,2.82,9.40,1.44,7.72,1.35,4.07,0.56,3.95,0.57,9.96,1
53.63,14.47,5.06,0.06,2.8,5.75,1.78,2.27,0.82,0.07,308,22,13,117,9,25,36,17,92,118,23,252,13,118,44,52,2.18,2.47,,73.94,134.14,15.36,60.94,11.83,2.55,9.66,1.50,7.93,1.36,4.17,0.57,3.92,0.54,9.72,0.5
61.03,14.89,5.38,0.08,2.73,2.79,0.86,2.39,0.8,0.06,358,20,12,115,9,21,42,15,101,96,25,273,15,127,34,46,2.31,2.61,,48.59,90.98,10.29,41.69,8.49,2.11,6.99,1.21,7.07,1.33,3.94,0.56,3.98,0.57,8.73,0.5
63.20,12.98,5.32,0.08,2.94,3.33,1.59,2.32,0.74,0.22,353,28,14,95,13,32,42,20,102,219,31,290,18,87,33,89,2.44,1.26,,62.18,115.80,12.54,46.52,7.94,1.68,6.80,1.16,6.35,1.22,3.69,0.60,3.81,0.58,10.57,1
66.91,13.32,4.68,0.07,2.39,1.92,1.68,2.13,0.73,0.13,344,33,13,84,4,37,36,17,94,199,35,354,15,95,33,92,2.50,1.37,,45.62,86.06,9.89,37.71,6.98,1.36,6.26,1.28,7.61,1.54,4.76,0.81,4.68,0.77,13.94,0.5
66.83,13.46,4.83,0.07,2.22,2.50,1.69,1.76,0.76,0.09,359,36,12,80,9,31,36,21,81,234,41,407,20,105,29,76,2.93,1.25,,42.97,81.82,9.55,37.01,7.39,1.56,6.51,1.35,7.99,1.68,5.27,0.89,5.34,0.85,15.25,0.5
61.26,13.89,6.70,0.08,3.15,3.40,1.39,1.72,0.93,0.14,345,35,13,110,7,30,53,25,95,258,37,349,21,156,38,80,2.81,1.41,,41.85,79.67,9.11,35.95,7.10,1.55,6.30,1.22,7.09,1.42,4.36,0.72,4.44,0.70,12.56,1
59.86,12.93,4.27,0.06,2.49,3.48,5.18,1.92,0.89,0.08,472,20,10,96,9,26,35,14,75,214,32,416,35,133,22,40,2.30,2.04,,69.43,128.35,14.51,57.46,11.71,3.00,10.02,1.75,10.93,2.07,6.58,0.98,6.47,0.94,16.10,0.5
60.21,13.38,6.18,0.09,2.88,2.83,1.6,2.09,0.96,0.18,454,20,12,128,10,27,54,19,99,197,29,308,24,140,39,59,1.82,2.74,,57.53,106.72,12.60,51.53,10.41,2.99,9.00,1.50,8.76,1.60,4.80,0.70,4.61,0.67,11.06,1
62.35,14.32,5.99,0.08,2.66,1.88,1.55,1.72,0.95,0.08,415,19,12,128,10,23,49,18,79,156,30,329,21,142,36,48,2.40,2.80,,73.88,133.62,15.12,60.72,11.66,3.01,9.66,1.57,9.26,1.65,5.10,0.74,5.14,0.75,11.29,0.5
61.27,13.67,4.91,0.08,2.63,2.58,2.73,1.25,0.89,0.09,329,19,10,110,9,19,37,13,46,127,22,306,16,118,42,40,1.48,2.53,,54.77,97.66,10.35,39.83,7.10,1.95,6.21,1.02,6.33,1.18,3.80,0.55,3.80,0.58,11.10,0.5
58.64,13.97,5.41,0.09,3.14,3.58,1.88,1.92,0.86,0.07,257,20,12,123,9,24,42,16,83,101,20,273,15,139,39,53,1.60,2.69,,47.35,89.48,10.02,40.13,7.65,1.99,6.30,1.04,5.94,1.03,3.33,0.50,3.29,0.50,14.38,1
57.02,14.59,5.27,0.07,2.69,4.13,1.69,2.04,0.86,0.07,341,21,11,120,12,22,49,16,91,115,22,290,15,117,33,45,1.86,2.55,,69.75,128.24,14.58,57.49,11.21,2.56,8.89,1.44,8.33,1.49,4.49,0.63,4.34,0.63,12.61,1
54.56,15.66,5.67,0.06,2.79,4.58,1.25,2.86,0.94,0.09,416,24,12,131,12,28,50,19,122,139,25,287,15,117,55,54,2.41,2.78,,67.12,125.36,14.31,57.33,11.05,2.65,8.99,1.41,7.90,1.39,4.27,0.58,3.85,0.59,11.31,1
52.82,14.69,6.14,0.06,3.14,5.76,1.28,2.19,0.82,0.07,332,21,13,118,6,20,40,18,92,124,25,250,13,116,34,53,2.44,2.88,,67.84,125.40,14.10,56.67,10.56,2.65,8.91,1.45,7.22,1.24,3.87,0.54,3.69,0.55,8.83,1
66.18,13.64,4.17,0.05,2.62,1.94,1.17,2.06,0.66,0.07,300,17,10,84,13,19,33,11,73,113,25,222,12,129,24,44,1.94,1.92,,75.75,141.69,16.35,63.42,11.90,2.82,9.81,1.52,7.67,1.31,3.87,0.57,3.68,0.54,8.90,1
64.38,14.30,5.79,0.08,2.85,1.66,1.43,2.15,0.79,0.10,341,33,12,92,13,41,41,22,114,176,34,320,18,98,40,90,2.69,1.37,,56.34,104.50,11.79,45.43,8.53,1.55,7.06,1.30,7.24,1.35,4.21,0.70,4.34,0.70,11.47,1
64.15,13.73,5.68,0.08,2.87,2.15,1.40,2.05,0.83,0.10,351,28,12,92,10,34,54,22,99,187,34,339,20,133,33,85,2.87,1.39,,46.45,86.97,10.08,38.70,7.40,1.51,6.41,1.26,7.45,1.49,4.54,0.75,4.57,0.75,13.14,1
64.70,14.06,6.37,0.08,2.96,2.04,1.47,1.92,0.88,0.10,364,36,14,101,13,31,48,21,116,206,44,378,29,128,36,80,2.33,1.28,,49.09,92.66,10.66,42.98,8.54,1.73,7.85,1.49,8.99,1.78,5.58,0.88,5.52,0.83,12.55,0.5
62.43,13.67,5.87,0.08,3.04,2.75,1.61,2.11,0.88,0.14,345,28,14,98,8,36,47,13,110,222,43,317,23,141,41,85,2.25,1.28,,44.38,85.35,9.83,38.95,7.60,1.59,7.02,1.32,7.66,1.48,4.53,0.71,4.58,0.70,12.34,0.5
59.31,12.28,4.45,0.06,2.66,3.62,5.76,1.63,0.85,0.07,442,18,9,105,11,23,45,16,67,214,26,341,20,152,157,44,1.98,1.98,,52.80,98.44,11.52,45.65,9.11,2.55,7.89,1.37,7.63,1.35,4.11,0.63,4.17,0.63,11.50,0.5
63.95,13.26,4.99,0.07,2.53,1.94,1.69,2.06,0.81,0.07,402,18,10,101,7,22,43,13,79,184,28,325,17,163,27,43,1.74,2.18,,52.30,97.01,11.47,45.31,8.51,2.61,7.35,1.34,7.50,1.35,4.29,0.65,4.33,0.69,14.66,0.5
61.35,12.44,4.57,0.07,3.46,3.71,2.07,1.86,0.82,0.22,399,18,11,100,9,22,46,13,73,199,25,312,19,125,34,45,1.93,1.99,,60.62,109.08,12.60,50.00,9.24,2.74,8.16,1.44,8.51,1.65,5.25,0.87,6.02,0.93,13.29,1
61.87,11.86,4.17,0.07,2.49,4.48,2.11,1.66,0.76,0.1,318,18,10,94,10,41,41,13,61,176,22,295,14,121,28,40,1.59,1.80,,43.20,79.70,9.41,37.33,7.12,2.08,6.17,1.11,6.33,1.14,3.64,0.56,3.53,0.56,11.35,1
62.71,12.38,4.68,0.06,2.65,2.14,1.7,1.82,0.89,0.07,280,17,9,110,6,26,35,11,67,108,20,249,16,141,28,42,1.65,2.20,,40.68,76.90,9.01,35.68,6.89,1.86,6.20,1.07,5.92,1.10,3.33,0.51,3.22,0.47,11.19,1
56.79,15.14,5.38,0.08,2.52,4.96,1.87,2.46,0.92,0.08,408,21,12,136,18,25,44,15,90,145,25,289,14,122,39,60,1.95,2.41,,86.91,155.96,17.82,70.42,12.51,3.10,10.72,1.66,8.42,1.49,4.24,0.64,4.02,0.60,11.56,1
59.95,15.55,6.03,0.08,3,2.01,1.3,2.84,0.95,0.09,470,23,12,127,14,25,52,20,116,157,26,257,16,139,54,55,2.19,2.57,,65.50,118.98,13.88,54.14,10.24,2.76,8.96,1.46,7.34,1.22,3.59,0.54,3.36,0.51,8.61,0.5
56.67,15.31,4.45,0.03,2.65,4.58,2.09,2.92,0.65,0.05,314,23,11,89,18,16,30,11,104,128,23,225,13,107,29,40,2.34,2.05,,90.33,165.82,19.10,74.29,13.69,3.32,11.05,1.77,8.36,1.45,4.23,0.64,3.83,0.58,7.81,1
54.13,14.44,4.71,0.04,3.07,1.84,5.3,2.86,0.63,0.08,353,21,10,81,4,22,29,15,103,96,23,157,13,118,26,50,2.40,2.14,,78.94,144.25,16.66,64.88,11.93,2.93,9.61,1.54,7.57,1.28,3.95,0.59,3.55,0.53,5.32,0.5
60.19,15.68,4.63,0.06,1.61,1.8,1.82,3.73,0.67,0.17,501,25,16,65,34,27,27,8,240,126,31,390,46,81,26,51,3.09,1.19,5.30,47.53,99.88,11.15,42.46,7.49,1.50,6.07,0.97,4.66,0.97,2.70,0.42,2.74,0.39,9.29,1.5
64.35,15.77,4.88,0.06,1.42,0.72,1.18,3.89,0.83,0.1,564,19,30,83,53,1.5,31,9,199,95,41,454,35,88,20,57,2.56,1.55,4.71,140.39,277.94,29.22,110.50,19.33,3.51,15.35,2.29,10.02,1.91,5.35,0.75,4.80,0.68,12.62,1.5
66.66,14.01,4.57,0.06,1.68,1.1,1.37,3,0.91,0.15,347,21,8,79,30,27,29,11,152,113,27,313,18,86,24,57,2.62,1.6,5.33,90.59,176.13,19.15,72.76,12.78,2.32,10.28,1.55,6.41,1.23,3.45,0.47,3.13,0.44,8.29,1.5
56.13,13.41,4.24,0.05,1.86,6.88,1.26,2.65,0.71,0.14,311,19,13,74,23,28,35,16,128,111,27,341,13,70,23,54,2.45,1.45,2.77,100.77,179.64,19.88,74.68,12.86,2.45,10.35,1.55,6.16,1.13,3.19,0.42,2.79,0.39,8.99,1.5
57.08,15.92,6.37,0.08,2.83,1.51,2.22,3.27,0.91,0.11,483,28,11,97,16,29,37,16,164,127,27,364,18,96,32,66,2.91,1.49,3.17,64.3,131.92,14.97,57.03,9.64,2.3,7.94,1.25,5.55,1.13,3.21,0.46,3.01,0.43,9.73,1.5
57.44,15.25,6.63,0.09,2.77,3.52,3.7,2.3,1.58,0.53,533,17,12,121,15,22,29,19,99,359,43,864,34,100,21,56,4.11,1.5,3.24,123.39,229.8,26.89,102.69,16.59,3.75,13.84,2.16,9.67,1.94,5.45,0.75,4.84,0.68,22.94,1.5
57.84,15.42,6.66,0.09,2.44,3.18,3.28,2.45,1.43,0.43,573,23,11,105,14,28,26,14,103,308,45,940,37,67,17,61,3.52,1.4,2.86,135.38,258.15,29.89,115.89,18.03,4.15,14.78,2.29,9.86,1.97,5.64,0.75,4.9,0.68,24.31,1.5
63.07,13.99,5.91,0.09,2.22,3.05,2.27,2.22,1.2,0.39,523,19,16,105,18,29,35,8,102,275,37,399,41,101,18,76,1.92,1.23,3.36,84.50,167.49,19.36,75.53,12.39,2.98,10.04,1.51,7.10,1.46,4.10,0.57,3.63,0.51,11.47,1.5
56.52,14.46,5.67,0.08,2.4,5.93,2.03,2.74,1.1,0.31,510,21,18,87,23,30,30,9,124,267,39,965,39,88,16,65,2.27,1.26,3.30,92.11,180.39,20.68,79.71,12.91,2.88,10.51,1.59,7.22,1.46,4.16,0.57,3.75,0.55,25.63,1.5
61.07,17.68,4.14,0.05,1.33,1.44,2.47,4.01,0.66,0.12,434,24,16,61,32,20,24,7,214,116,32,514,46,67,9,40,6.00,1.28,2.89,51.88,108.13,11.97,45.03,8.06,1.56,6.75,1.11,5.53,1.15,3.21,0.49,3.07,0.44,15.71,1.5
61.6,15.63,6.22,0.07,2.1,2.46,1.72,3.11,0.88,0.08,425,27,14,119,16,17,43,16,184,127,29,469,19,103,37,56,3.34,1.38,1.82,42.91,72.35,8.93,34.41,6.38,1.73,5.63,0.99,5.33,1.16,3.25,0.52,3.45,0.49,13.42,1.5
59.59,13.47,7.94,0.11,4.32,2.94,1.01,2.62,1.03,0.14,360,25,13,119,18,14,60,19,139,82,38,335,16,123,56,74,2.63,1.52,3.33,50.10,82.67,10.47,40.71,7.48,1.84,6.67,1.22,6.75,1.53,4.27,0.67,4.30,0.60,9.97,1.5
67.53,15.62,7.44,0.07,1.67,1.08,1.08,2.35,0.95,0.11,369,28,12,104,17,13,37,19,126,93,33,262,17,106,25,152,3.08,1.93,2.05,48.79,78.30,10.07,38.26,6.88,1.65,5.81,0.99,5.30,1.19,3.49,0.58,3.96,0.57,7.23,1.5
66.07,14.58,4.22,0.07,1.63,0.85,0.94,4.25,0.88,0.1,787,16,15,74,24,47,30,9,214,88,35,648,38,96,19,47,1.98,1.19,3.56,51.80,108.60,11.83,44.74,8.30,1.93,7.32,1.32,7.71,1.79,5.13,0.84,5.45,0.78,19.62,11
68.73,15.65,3.92,0.03,1.33,0.57,1.17,3.52,0.8,0.1,489,17,13,81,37,23,24,4,160,94,25,285,37,87,11,47,1.85,1.35,3.84,82.39,164.21,17.85,68.74,12.06,2.30,9.75,1.32,4.97,0.91,2.56,0.34,2.26,0.33,6.74,1.5
59.48,13.6,5.31,0.07,2.54,4.89,1.39,2.53,0.8,0.14,423,18,16,106,23,30,41,9,122,139,28,274,30,115,32,64,1.75,1.12,3.57,45.10,90.91,10.05,38.49,6.90,1.65,5.84,0.94,4.65,0.96,2.63,0.39,2.49,0.35,7.55,1.5
61.39,13.37,5.62,0.07,2.43,3.31,1.92,2.49,0.91,0.11,419,21,11,95,12,30,41,19,123,151,22,296,16,89,33,54,2.59,1.26,2.23,43.47,95.32,10.1,38.36,6.71,1.69,5.58,0.92,4.45,0.91,2.56,0.37,2.48,0.35,8.06,1.5
57.16,14.93,6.54,0.08,2.86,3.31,2.88,3.04,1.22,0.35,665,25,10,93,12,19,29,14,142,313,29,542,26,76,18,53,3.6,1.26,2.73,81.16,167.19,18.98,72.75,11.75,2.97,9.51,1.47,6.53,1.32,3.77,0.51,3.28,0.47,14.19,1.5
56.08,15.53,6.79,0.09,2.52,3.45,2.64,3.13,1.31,0.26,532,27,12,106,18,23,28,14,156,245,38,702,33,74,24,60,3.51,1.4,3.05,105.69,198.64,22.93,87.49,14.45,3.51,11.91,1.85,8.1,1.63,4.6,0.64,4.14,0.56,18.08,1.5
61.34,16.57,4.09,0.06,1.43,2.38,2.83,3.44,1.12,0.14,856,22,15,65,22,26,14,7,148,250,38,1589,60,48,9,42,3.56,1.35,4.25,87.52,176.23,20.50,82.44,14.22,4.55,11.27,1.71,7.82,1.49,4.13,0.57,3.64,0.54,45.47,1.5
62.34,16.34,4.55,0.07,1.69,1.62,2.28,3.19,0.93,0.12,520,23,14,66,30,46,20,7,164,191,38,1395,81,55,13,51,3.37,1.33,4.28,76.83,155.02,18.85,74.04,12.26,3.23,9.76,1.52,7.26,1.49,4.13,0.61,4.14,0.59,37.99,1.5
69.45,15.29,4.45,0.07,1.36,1.38,2.28,3.97,0.86,0.12,498,25,10,65,28,24,19,10,203,128,38,1052,27,64,18,43,3.37,1.31,2.16,80.71,143.28,17.58,67.11,11.77,2.52,9.95,1.56,7.54,1.56,4.42,0.66,4.37,0.62,26.28,1.5
61.83,17.81,4.08,0.05,1.36,1.11,2.38,3.19,0.62,0.07,273,26,12,57,43,6,19,9,181,94,36,431,39,51,11,33,3.87,1.21,3.91,63.72,131.95,14.80,54.30,10.00,1.55,8.22,1.37,7.10,1.45,3.98,0.60,3.82,0.54,14.76,1.5
52.1,17.16,7.14,0.08,3.42,4.66,1.62,2.19,1.04,0.1,252,22,19,135,19,24,61,22,134,117,39,257,30,156,65,51,2.31,1.24,4.26,38.06,77.45,7.56,29.35,5.50,1.58,4.89,0.85,4.61,0.97,2.63,0.42,2.68,0.38,8.46,1.5
56.7,18.3,7.55,0.07,1.87,1.18,1.11,2.78,0.99,0.07,421,25,14,96,18,20,40,16,152,89,27,278,16,106,35,76,2.72,1.66,3.28,47.65,91.89,9.42,35.96,6.48,1.72,5.65,0.96,5.08,1.09,3.03,0.48,2.97,0.43,8.11,1.5
60.87,17.21,6.72,0.05,1.67,0.82,1.44,2.86,1.17,0.07,425,22,12,107,15,13,40,14,148,100,30,234,23,105,24,45,2.60,1.48,3.36,54.03,74.42,10.99,41.70,7.24,1.85,6.28,1.06,5.36,1.18,3.36,0.53,3.42,0.48,7.05,1.5
65.55,15.71,3.73,0.04,1.58,1.06,1.1,4.12,0.7,0.14,567,17,14,79,44,27,25,6,164,97,31,406,30,82,16,46,1.88,1.28,3.55,110.81,223.26,23.72,89.65,15.89,3.03,12.58,1.69,6.28,1.12,3.23,0.43,2.83,0.40,10.90,1.5
63.89,14.65,4.77,0.04,1.79,1.66,1.04,3.02,0.7,0.13,408,16,16,88,28,21,32,8,165,113,25,241,32,93,19,61,2.05,1.32,4.45,57.56,117.73,13.33,49.66,8.77,1.84,7.35,1.06,4.45,0.83,2.36,0.32,2.10,0.30,6.59,1.5
59.44,15.83,5.06,0.06,3.11,3.36,1.26,3.34,0.66,0.12,617,19,16,105,26,37,39,7,154,141,24,257,34,111,30,57,2.09,1.14,3.95,48.57,97.59,10.85,40.18,7.07,1.73,6.07,0.89,3.93,0.75,2.10,0.29,1.90,0.28,6.90,1.5
56.21,15.94,4.26,0.07,2.2,3.39,4.87,2.27,1.12,0.14,497,18,16,102,32,19,21,10,114,196,28,365,33,82,15,45,2.80,1.20,4.14,52.49,108.10,11.51,43.89,7.87,1.85,6.54,1.05,5.24,1.07,2.96,0.45,2.81,0.41,11.03,1.5
61.03,16.01,4.97,0.07,1.79,2.22,3.94,2.58,1.22,0.2,382,27,11,73,30,21,23,12,119,211,40,1533,42,51,18,55,3.37,1.37,2.87,148.63,275.33,31.46,119.35,17.55,3.88,14.42,2.23,9.15,1.83,5.27,0.68,4.53,0.65,36.03,1.5
59.93,17.14,5.21,0.11,1.98,2.07,2.68,3.2,0.95,0.1,613,23,16,84,25,32,26,13,174,180,33,741,48,88,19,51,3.52,1.21,3.07,48.88,101.87,11.13,43.15,7.58,2.17,6.38,1.07,5.44,1.19,3.31,0.51,3.35,0.48,19.69,1.5
62.33,16.34,4.49,0.07,1.5,1.53,2.03,3.93,0.73,0.17,457,23,13,57,32,16,22,7,230,118,34,630,49,55,17,53,3.33,1.20,4.28,56.97,116.35,12.75,49.35,8.56,1.83,7.33,1.21,6.02,1.28,3.61,0.55,3.60,0.50,17.69,1.5
62.84,16.88,3.87,0.05,1.22,1.32,2.08,3.51,0.65,0.1,249,21,12,56,47,12,16,7,205,91,36,451,40,51,15,36,3.07,1.21,3.94,57.84,117.45,13.15,49.72,9.41,1.32,7.65,1.29,6.74,1.37,3.73,0.55,3.52,0.51,15.80,1.5
62.14,15.46,5.68,0.08,2.15,1.78,2.85,2.53,1.02,0.1,314,18,9,84,15,22,32,14,128,97,29,423,19,91,23,56,3.37,1.31,2.09,52.05,107.79,12.13,46.46,8.42,1.63,6.79,1.18,5.95,1.25,3.64,0.55,3.68,0.53,12.67,1.5
59.49,16.92,4.26,0.06,2.07,1.45,3.16,3.37,0.77,0.12,294,23,10,61,21,29,26,11,184,119,32,454,23,58,17,39,4.6,1.2,1.8,57.83,116.91,13.72,51.64,9.19,1.55,7.45,1.21,5.63,1.13,3.18,0.45,2.98,0.43,13.77,1.5
50.54,13.63,7.72,0.09,4.35,5.98,1.84,2.34,1.21,0.1,233,24,15,112,10,16,58,21,107,113,25,256,14,110,55,38,2.13,1.29,3.34,36.54,84.01,8.16,30.89,5.68,1.34,4.85,0.87,4.66,1.01,2.83,0.44,2.94,0.4,7.98,1.5
52.01,17.09,7.12,0.07,2.52,3.55,1.1,2.6,0.86,0.12,414,29,15,95,13,21,46,19,139,115,32,199,14,118,37,74,2.41,1.34,2.87,56.57,109.27,11.15,42.30,7.39,1.85,6.43,1.02,5.19,1.09,2.97,0.45,2.83,0.40,5.96,1.5
60.91,15.31,7.2,0.12,2.27,1.07,0.9,2.19,0.92,0.12,319,21,13,123,13,22,53,18,99,67,29,250,12,120,46,55,1.86,1.18,2.56,44.47,86.06,8.89,34.92,6.29,1.69,5.64,0.94,4.97,1.07,2.89,0.43,2.66,0.39,6.29,1.5
64.5,15.57,4.62,0.03,1.45,0.71,1.06,3.25,0.9,0.13,443,20,14,189,42,12,24,8,160,100,26,313,40,79,19,60,2.17,1.48,4.51,86.98,175.34,18.56,69.56,12.32,2.46,9.79,1.33,5.05,0.91,2.49,0.33,2.24,0.31,9.94,1.5
64.48,15.88,4.97,0.04,1.81,0.72,1.05,3.2,0.76,0.11,421,17,16,23,28,19,32,7,158,106,27,238,37,91,21,56,1.74,1.45,4.06,77.04,150.62,16.12,60.47,10.25,2.08,8.36,1.15,4.62,0.88,2.47,0.34,2.22,0.31,5.64,1.5
65.17,13.54,4.7,0.07,2.83,2.21,1.58,2.44,0.77,0.1,490,16,16,89,18,24,35,8,124,128,26,276,29,121,20,50,2.11,1.09,4.02,37.47,77.48,7.93,29.94,5.40,1.38,4.67,0.76,3.84,0.82,2.34,0.37,2.53,0.37,9.27,1.5
57.23,14.8,5.99,0.06,4.08,5.78,0.98,2.48,0.75,0.12,492,19,15,136,21,38,43,16,119,120,26,164,21,108,47,82,3.30,1.06,3.73,61.14,120.40,13.17,49.12,8.67,1.98,7.16,1.09,5.16,1.03,2.94,0.44,2.82,0.42,13.05,1.5
