SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 ,Ba ,Ga ,Sc  ,V ,Th ,Pb ,Ni ,Co ,Rb  ,Sr ,Y ,Zr ,Nb,Cr ,Cu ,Zn,Be ,Ge ,Sn,La ,Ce,Pr ,Nd,Sm ,Eu ,Gd,Tb ,Dy ,Ho ,Er,Tm,Yb ,Lu ,Hf ,Au 
59.31,15.29,6.92,0.09,3.73,3.19,1.65,2.28,0.91,0.15,332,30,16,101,10,21,57,22,96,221,38,357,19,161,28,82,2.316,1.5405,4.404,53.4624,100.2606,11.8793,48.1884,9.2231,2.0243,8.3932,1.4623,8.2626,1.542,4.7453,0.7385,4.7603,0.7364,13.7327,2
58.84,14.91,6.23,0.09,3.12,2.69,1.12,2.89,0.86,0.13,302,19,13,99,19,31,46,16,131,150,35,322,15,122,30,80,3.3407,2.0341,3.1093,48.7603,80.7183,10.5928,41.2689,7.6152,1.4254,6.4399,1.1034,5.7796,1.0882,3.3366,0.4957,3.3676,0.4926,9.1798,7
66.91,11.37,6.13,0.1,2.48,2.46,0.94,2.14,0.86,0.13,473,15,10,82,12,25,42,14,112,138,33,346,15,114,28,75,1.878,1.916,2.672,51.22,97.48,11.22,44.96,8.527,1.592,7.516,1.297,6.759,1.269,4.025,0.611,3.953,0.586,10.84,1
58.46,13.3,5.93,0.1,3.43,4.38,1.47,2.61,1,0.16,344,28,12,89,19,25,39,17,108,187,41,401,19,103,25,74,3.0999,1.9844,2.9755,56.594,83.2612,12.3729,48.2665,9.1294,1.663,7.7315,1.342,7.1599,1.3299,4.0993,0.6228,4.0179,0.5936,10.8975,2
64.62,10.27,5.28,0.09,2.73,4.14,1.1,2.11,0.8,0.2,413,16,10,71,15,24,40,15,105,206,30,344,15,98,27,72,1.988,1.826,2.935,46.61,87.75,10.34,40.84,7.744,1.49,6.511,1.201,6.4,1.19,3.785,0.54,3.677,0.552,10.79,3
65.59,11.1,5.09,0.09,2.6,4.09,0.92,2.33,0.85,0.2,409,16,12,68,16,26,31,14,102,194,36,443,14,104,25,71,2.309,1.961,2.963,55.21,104.1,12.11,48.39,8.853,1.651,7.716,1.343,7.378,1.46,4.679,0.692,4.712,0.763,15.58,2
63.43,11.94,5.66,0.09,2.83,4.36,1.11,2.38,0.79,0.13,449,14,12,67,10,30,34,14,113,166,33,331,13,88,22,61,2.583,2.089,2.526,45.59,86.28,10.16,40.45,7.689,1.521,6.597,1.177,6.141,1.195,3.738,0.589,3.936,0.651,13.02,3
64.09,12.83,6.23,0.08,1.99,2.86,2.05,2.33,0.79,0.16,479,18,11,83,27,19,41,15,140,215,39,468,20,100,33,77,2.668,2.177,3.416,83.84,158.1,18.71,70.3,11.1,1.808,9.688,1.584,8.243,1.542,4.929,0.726,4.825,0.779,15.57,0.5
57.64,11.3,7.17,0.09,3.35,4.78,1.05,2.26,0.87,0.31,468,24,14,93,11,22,55,22,108,205,29,304,15,118,50,91,1.766,2.04,2.086,44.29,80.82,9.473,37.04,6.91,1.527,6.439,1.166,6.34,1.234,3.872,0.582,3.916,0.565,10.4,3
62.25,12.81,7.56,0.11,2.91,2.73,1.33,2.35,0.87,0.13,324,22,12,107,12,26,57,23,109,162,34,354,15,131,41,88,1.708,2.105,2.407,45.63,85.5,9.987,39.04,7.678,1.722,6.919,1.288,7.196,1.424,4.374,0.673,4.563,0.692,13.29,1
68.23,10.92,7.69,0.1,2.77,2.16,0.11,1.73,0.87,0.15,318,21,13,113,11,25,72,21,116,205,38,437,22,156,52,87,2.58,1.32,3.78,56.18,100.52,12.35,49.12,9.57,2.21,8.46,1.52,8.7,1.65,5.13,0.79,5.23,0.77,16.32,0.5
70.95,11.38,6.43,0.08,2.37,2.16,0.15,1.76,0.86,0.11,340,29,13,104,21,20,71,15,147,159,56,540,31,154,25,59,3.07,1.41,5.28,57.12,108.62,13.51,54.81,11.75,2.12,10.74,2.05,12.61,2.33,7.19,1.1,7.35,1.08,21.72,0.5
54.82,13.84,8.43,0.11,4.34,4.95,1.51,2.03,1.09,0.18,315,23,16,110,9,15,84,26,86,180,51,402,25,197,41,88,1.9967,1.3657,1.9985,65.4643,116.6227,14.4822,57.757,11.5618,2.3897,9.4107,1.7987,10.1309,1.9442,5.6123,0.883,5.6277,0.8765,15.3841,0.5
55.71,15.65,7.39,0.1,3.7,3.26,1.25,2.97,0.92,0.17,347,22,15,97,13,22,55,19,133,153,38,284,16,143,37,88,2.9274,1.8602,3.5821,62.2046,118.1789,13.4916,53.864,9.9266,1.9592,8.814,1.5172,8.5838,1.6025,4.9423,0.7499,4.6854,0.6931,8.5497,2
60.32,13.23,5.79,0.1,3.41,3.56,1.33,2.61,0.9,0.19,330,26,12,92,17,28,42,20,107,174,33,357,18,103,33,69,2.9535,1.772,4.3044,44.7605,77.209,9.6636,38.0642,7.1095,1.3593,6.1382,1.0553,5.6021,1.0316,3.1163,0.46,3.0664,0.4416,9.984,6
57.59,13.98,6.19,0.1,3.51,4.45,1.13,2.46,0.88,0.16,382,21,16,94,12,19,46,16,114,208,36,344,17,105,25,73,2.2728,1.4326,3.481,59.7611,114.2287,12.8054,51.3979,9.3307,1.8495,8.4188,1.4757,8.4104,1.597,4.9025,0.7342,4.7693,0.692,10.5229,2
64.35,13.03,5.41,0.09,2.76,3.1,1.31,2.44,0.86,0.18,394,20,13,91,13,21,39,17,97,164,36,391,16,121,18,60,2.3484,1.4682,2.9033,57.9264,106.8984,12.6495,51.2071,9.3605,1.8571,8.2543,1.4123,7.9957,1.4992,4.6547,0.7022,4.3987,0.6687,16.4895,1
63.14,13.08,5.61,0.09,3.22,3.59,1.25,2.46,0.89,0.2,368,23,13,87,14,24,40,19,105,173,41,393,17,113,19,65,2.4307,1.5775,3.5628,49.642,96.6341,11.1015,44.5632,8.4871,1.5977,7.4686,1.3253,7.1729,1.3229,4.1388,0.6232,4.2179,0.6189,12.196,1
