Ba ,Ga ,Sc  ,V ,Th ,Pb ,Ni ,Co ,Rb  ,Sr ,Y ,Zr ,Nb,Cr ,Cu ,Zn,Be ,Ge ,La ,Ce,Pr ,Nd,Sm ,Eu ,Gd,Tb ,Dy ,Ho ,Er,Tm,Yb ,Lu ,Hf ,Hf 
455,19,11,96,11,27,46,15,75,63,22,185,13,105,51,74,1.83,2.06,32.83,62.57,7.07,28.41,5.25,1.16,4.6,0.75,4.17,0.79,2.28,0.35,2.17,0.32,4.41,4.41
337,28,14,107,15,25,50,17,118,68,24,211,14,123,40,83,2.1,2.04,37.83,70.59,7.98,32.1,6.04,1.27,5.25,0.87,4.86,0.94,2.8,0.42,2.73,0.39,5.76,5.76
560,24,8,110,14,27,54,23,82,123,30,357,14,98,59,86,2.95,2.13,50.09,80.17,10.32,40.29,7.34,1.58,6.43,1.07,5.79,1.07,3.24,0.47,3.12,0.47,9.22,9.22
344,26,10,79,27,24,36,30,149,61,20,212,13,94,18,114,1.55,1.39,65.04,110.5,13.09,49.91,8.31,1.22,6.9,1.08,5.5,1,3.11,0.45,2.97,0.43,9.28,9.28
399,28,8,91,26,16,38,32,117,64,28,209,14,86,20,77,1.93,1.21,147.36,274.24,30.87,108.13,19.71,1.13,14.34,2.26,8.91,1.69,4.81,0.77,4.56,0.68,9.31,9.31
521,29,16,98,5,46,61,29,80,207,23,166,11,139,48,102,1.53,1.22,32.00,59.70,6.68,27.40,5.39,1.28,4.79,0.83,4.70,0.86,2.57,0.42,2.56,0.42,8.38,8.38
376,36,14,65,12,34,43,22,93,195,31,272,14,85,42,83,2.68,1.16,36.77,71.51,7.80,30.95,6.02,1.28,5.65,1.10,6.84,1.29,4.20,0.67,4.08,0.67,12.34,12.34
316,38,17,55,13,43,33,17,82,240,46,423,23,62,28,82,2.69,1.13,39.02,72.15,8.12,32.44,6.75,1.30,6.47,1.30,8.36,1.57,4.91,0.79,4.73,0.76,18.11,18.11
402,21,14,80,16,37,43,26,83,195,53,675,30,87,34,244,2.11,1.28,41.54,81.41,9.09,37.29,8.26,2.02,8.32,1.87,12.3,2.44,7.92,1.32,8.61,1.26,37.21,37.21
409,26,13,95,27,27,48,31,125,143,85,956,50,87,32,95,1.82,1.03,105.37,204.52,22.95,88.02,15.86,1.15,16.03,3.05,17.16,3.74,11.16,1.88,11.87,1.96,39.02,39.02
553,38,13,110,18,33,40,32,91,188,72,1257,45,75,33,79,1.97,0.93,76.82,158.75,16.79,64.42,11.90,0.96,12.86,2.55,15.35,3.51,10.63,1.86,11.84,1.82,29.10,29.10
382,23,15,128,15,36,60,37,98,169,40,338,21,90,66,93,1.66,1.15,53.90,107.88,12.31,48.33,8.93,0.68,9.03,1.69,8.75,1.81,5.22,0.86,5.13,0.82,15.33,15.33
386,19,11,73,13,35,35,13,83,87,24,221,14,78,37,73,2.3,2.44,36.26,70.09,7.64,29.82,5.47,1.06,4.73,0.77,4.27,0.82,2.45,0.37,2.45,0.37,6.69,6.69
371,20,10,66,22,46,50,28,54,109,20,129,9,65,27,98,1.67,1.07,19.41,44.65,4.13,16.31,3.18,0.90,3.04,0.53,3.00,0.66,1.81,0.28,1.79,0.26,1.44,1.44
742,20,10,95,24,68,56,31,105,87,20,186,13,144,48,1131,3.1,2.41,38.91,72.95,8.45,33.26,6.23,1.36,5.32,0.85,4.25,0.79,2.27,0.34,2.22,0.33,5.41,5.41
412,22,12,101,12,36,55,20,104,116,29,263,13,116,53,114,2.9,2.72,41.01,75.29,8.74,33.93,6.27,1.23,5.41,0.87,4.75,0.91,2.63,0.4,2.69,0.39,7.15,7.15
338,18,10,70,30,11,21,11,111,55,33,247,10,62,10,85,1.8,1.14,100.3,146.4,19.99,74.93,13.28,1.54,10.37,1.6,8.37,1.53,4.54,0.68,4.07,0.59,6.93,6.93
349,16,11,93,23,21,32,12,120,66,30,205,12,86,28,90,1.93,1.1,92.23,130.8,18.16,66.86,11.48,1.78,8.99,1.37,6.93,1.27,3.81,0.56,3.45,0.51,5.61,5.61
493,35,13,82,14,24,50,29,83,241,41,245,16,90,71,90,1.83,1.03,39.56,91.15,8.53,34.24,7.14,2.12,7.12,1.34,7.81,1.71,4.77,0.74,4.63,0.65,5.72,5.72
412,26,13,70,17,32,39,22,90,172,49,312,20,84,36,111,2.37,1.38,53.34,100.8,11.48,46.82,9.75,2.05,9.56,1.84,11.37,2.12,6.57,1.03,6.19,0.9,14.9,14.9
414,34,11,76,13,42,31,26,128,153,53,626,34,57,29,80,1.86,1.03,54.05,121.85,11.48,43.67,9.23,2.28,9.08,1.77,10.42,2.37,6.71,1.11,7.14,1.04,15.74,15.74
369,23,15,118,14,31,54,30,84,283,25,197,14,103,39,92,1.65,1.24,35.9,62.62,7.42,29.3,5.62,1.41,5.21,0.96,5.93,1.09,3.67,0.53,3.56,0.54,8.13,8.13
341,38,15,109,10,23,45,30,56,218,35,367,21,96,30,80,1.52,1.24,37.95,69.08,8.04,31.11,6.13,1.47,6.06,1.11,6.92,1.3,4.45,0.71,4.67,0.69,16.33,16.33
327,31,14,84,18,29,40,26,91,165,46,791,29,67,61,105,2.17,1.17,56.31,109.4,11.77,45.9,9.32,2.14,8.82,1.71,11.12,2.11,6.82,1.11,7.1,1.03,31.25,31.25
528,45,14,104,13,26,42,27,78,159,38,362,19,83,85,96,2.02,1.16,64.79,117.1,13.79,55.61,10.89,2.13,9.95,1.86,10.76,2.12,6.37,0.93,5.72,0.88,16.64,16.64
414,21,11,88,18,28,46,13,114,99,30,222,16,94,47,104,3.35,2.26,52.02,76.99,11.07,42.76,7.84,1.44,6.4,1.02,5.19,0.96,2.87,0.42,2.71,0.4,5.97,5.97
412,21,9,77,15,25,40,14,98,96,22,202,14,69,41,101,2.55,1.71,37.3,69.41,7.57,28.8,5.14,1.05,4.39,0.69,3.7,0.7,2.05,0.31,2,0.31,5.23,5.23
493,24,10,94,9,33,59,38,103,88,24,179,13,104,40,124,1.96,1.90,29.73,75.88,6.34,25.02,4.66,1.30,4.35,0.74,4.02,0.87,2.30,0.36,2.33,0.33,5.83,5.83
327,27,11,79,10,20,46,25,84,86,23,272,12,95,53,100,1.43,1.46,32.75,60.84,7.05,27.79,4.92,1,4.82,0.89,5.19,1.09,3.31,0.55,3.6,0.58,11.76,11.76
327,18,8,62,21,27,28,11,80,63,26,279,12,70,20,98,1.32,1.09,42.35,72.69,8.56,32.5,5.88,0.97,4.88,0.8,4.15,0.74,2.31,0.36,2.2,0.35,10.11,10.11
425,21,10,84,15,21,32,15,78,98,34,311,14,94,32,87,1.55,1.05,59.46,88.39,12.49,47.98,9,1.72,7.69,1.27,7.06,1.31,4.05,0.6,3.83,0.58,10.73,10.73
411,41,15,98,13,26,108,30,88,158,39,324,18,230,58,133,2.1,1.38,52.14,94.55,11.17,45.58,8.99,1.89,8.35,1.59,8.99,1.76,5.2,0.76,4.57,0.73,12.85,12.85
381,27,10,88,16,29,55,16,93,163,44,390,24,112,47,92,2.95,1.21,35.02,70.17,7.76,31.12,6.81,1.55,6.55,1.3,8.16,1.66,5.01,0.8,5.01,0.75,11.08,11.08
377,34,12,87,16,28,44,13,110,216,43,470,25,105,37,78,2.22,1.32,40.26,76.46,8.66,35.97,7.73,1.59,7.2,1.42,8.71,1.72,5.39,0.85,5.5,0.81,13.58,13.58
332,33,15,81,12,31,50,25,72,237,22,221,13,94,31,89,1.7,0.97,22.77,42.47,4.96,20.49,4.09,1.2,4.1,0.84,5.08,1,3.15,0.48,3.05,0.46,8.74,8.74
396,28,15,111,15,30,53,24,85,190,24,270,15,132,54,90,1.76,1.14,31.39,59.26,6.66,26.3,5.24,1.25,4.96,0.94,5.57,1.09,3.51,0.53,3.44,0.55,11.68,11.68
522,31,12,89,8,25,32,22,77,259,29,307,15,76,36,82,2.3,1.1,46.03,83.26,9.68,39.62,7.45,1.77,7.11,1.34,7.95,1.64,4.91,0.76,4.74,0.75,13.63,13.63
503,36,14,94,13,27,33,15,87,262,36,363,13,71,50,82,2.66,1.20,46.32,82.27,9.97,41.08,8.03,1.85,7.27,1.27,7.49,1.35,4.19,0.66,3.97,0.61,12.76,12.76
365,25,9,81,18,30,39,8,110,83,26,219,13,89,48,102,1.69,1.83,33.42,61.72,7.03,27.16,5.04,0.95,4.39,0.76,4.16,0.79,2.39,0.38,2.38,0.35,5.87,5.87
296,16,12,152,13,40,60,16,85,88,26,190,12,117,83,140,1.73,1.64,32.55,60.7,6.91,27.16,5.07,1.03,4.44,0.76,4.28,0.81,2.49,0.4,2.39,0.36,5.11,5.11
343,24,11,97,5,29,52,17,90,123,24,238,14,139,46,126,1.7,1.37,35.84,65.5,7.5,29.67,5.72,1.24,4.99,0.89,4.96,0.92,2.73,0.41,2.59,0.38,7.51,7.51
233,22,8,63,14,49,36,34,88,71,21,249,13,60,24,266,1.84,1.19,27.86,65.80,5.87,22.88,4.27,1.09,4.15,0.74,4.14,0.88,2.42,0.37,2.36,0.34,7.92,7.92
239,22,8,61,16,28,41,40,67,90,24,248,14,68,15,117,1.69,0.99,49.13,114.77,10.61,40.76,7.44,1.65,6.36,0.97,4.86,1.02,2.78,0.43,2.70,0.39,8.13,8.13
420,21,13,94,14,30,59,18,88,202,38,292,16,130,53,126,2.11,1.25,43.6,77.81,9.34,38.18,7.69,1.57,6.98,1.27,7.26,1.4,4.2,0.63,3.94,0.56,8.52,8.52
315,32,10,75,15,27,43,14,61,190,34,314,16,98,39,91,2.31,1.14,27.8,57.59,6.2,25.33,5.31,1.18,4.93,0.98,5.87,1.13,3.55,0.56,3.66,0.51,8.52,8.52
378,28,12,100,12,30,53,21,93,200,36,318,20,122,45,72,2.33,1.33,28.34,59.86,6.3,25.87,5.59,1.25,5.16,1.03,6.38,1.3,4.15,0.67,4.5,0.65,8.92,8.92
318,42,16,100,10,40,47,19,92,192,30,272,16,115,39,87,1.89,1.34,38.58,74.14,8.33,33.37,6.30,1.23,5.40,0.92,5.40,1.00,3.15,0.48,3.13,0.46,10.34,10.34
451,29,15,109,14,40,62,26,92,128,26,225,14,120,49,123,1.94,1.28,44.78,80.7,9.36,37.39,7.15,1.33,5.99,1.05,5.51,1.05,3.12,0.45,2.89,0.47,8.73,8.73
423,34,13,104,11,34,51,29,104,239,41,331,19,101,48,94,1.58,1.08,44.96,100.74,9.56,37.95,7.61,2.23,7.36,1.35,7.86,1.74,4.91,0.79,4.98,0.72,11.38,11.38
575,32,13,77,11,27,33,27,83,429,37,383,17,50,25,74,1.84,1.07,43.41,104.68,9.55,38.44,7.75,2.59,7.46,1.30,7.22,1.53,4.23,0.67,4.10,0.57,12.13,12.13
442,34,11,94,10,28,32,29,73,325,40,420,18,64,32,74,1.96,1.06,55.44,105.42,11.90,48.29,9.22,2.42,8.74,1.52,8.02,1.75,4.90,0.77,4.95,0.67,15.14,15.14
277,19,11,104,15,28,52,17,104,63,24,199,13,113,37,121,1.66,2.63,34.65,62.84,7.21,28.12,5.24,1.11,4.58,0.76,4.2,0.79,2.43,0.37,2.27,0.34,5.62,5.62
303,18,7,54,11,31,39,36,84,56,20,219,13,67,19,87,1.85,1.62,25.40,62.40,5.23,20.31,3.76,1.06,3.49,0.59,3.28,0.71,2.00,0.31,2.01,0.28,7.23,7.23
340,26,11,77,9,41,47,26,89,97,18,202,11,109,42,265,1.18,1.9,26.64,49.05,5.71,22.59,4.31,0.89,3.8,0.68,3.91,0.75,2.34,0.35,2.49,0.39,7.77,7.77
261,22,10,59,13,102,31,25,76,118,25,266,12,54,56,1275,1.47,1.09,34.03,83.51,7.11,27.27,5.08,1.23,4.69,0.79,4.33,0.95,2.63,0.42,2.76,0.39,9.43,9.43
298,22,13,85,11,41,50,15,92,154,28,254,14,111,37,841,1.84,1.2,40.19,74.17,8.41,34,6.44,1.19,5.28,0.88,4.82,0.9,2.71,0.4,2.64,0.39,7.93,7.93
322,23,11,77,22,32,40,13,69,161,33,417,18,100,35,128,2.1,1.31,43.32,74.58,9.25,37.66,7.64,1.57,6.97,1.36,8.29,1.59,4.93,0.78,4.91,0.71,11.89,11.89
293,27,11,87,12,38,54,29,96,189,31,236,16,115,31,233,1.48,1.14,38.60,93.18,8.33,32.75,6.24,1.74,5.77,1.01,5.55,1.19,3.32,0.51,3.15,0.45,7.19,7.19
349,33,10,80,13,36,49,30,91,184,32,306,20,104,32,189,1.35,1.18,37.65,91.44,8.17,31.90,6.36,1.79,6.03,1.10,6.30,1.36,3.85,0.63,3.94,0.57,11.14,11.14
383,27,14,99,15,40,56,24,109,142,27,241,16,119,40,138,1.79,1.25,40.57,75.3,8.65,34.29,6.36,1.24,5.55,0.96,5.4,1.02,3.11,0.46,3.1,0.49,9.15,9.15
337,32,13,116,9,32,62,30,95,163,30,258,17,123,40,123,1.74,1.17,39.44,96.32,8.48,32.95,6.36,1.80,5.96,1.03,5.76,1.22,3.36,0.50,3.26,0.46,9.00,9.00
442,24,10,89,6,32,41,26,94,197,32,305,16,77,31,78,1.61,0.65,23.96,56.59,5.02,19.88,3.70,1.08,3.39,0.59,3.18,0.69,1.90,0.30,1.93,0.27,6.28,6.28
425,29,11,88,13,27,41,23,93,210,33,360,16,77,27,71,1.42,1.30,47.99,115.75,10.38,40.77,7.68,2.13,7.04,1.23,6.74,1.46,4.02,0.65,4.19,0.58,12.46,12.46
400,38,15,102,9,38,48,19,88,241,38,390,17,107,44,83,2.21,1.31,49.16,92.57,10.67,44.07,8.58,1.79,7.42,1.25,6.90,1.28,3.91,0.61,3.74,0.56,15.06,15.06
341,25,9,76,7,28,37,23,98,60,20,206,12,83,33,93,1.26,2.05,34.32,63.48,7.14,27.87,4.72,0.96,4.39,0.72,3.79,0.74,2.2,0.32,2.05,0.32,7.62,7.62
350,26,12,74,12,29,47,15,76,79,23,207,9,85,46,101,1.52,1.3,25.73,50.31,5.49,21.58,4.14,0.89,3.8,0.64,3.72,0.72,2.11,0.32,1.98,0.3,6.4,6.4
279,24,8,64,13,33,36,24,87,78,23,261,13,72,18,176,1.81,1.31,40.06,95.98,8.36,32.17,5.72,1.43,5.32,0.89,4.64,1.02,2.84,0.44,2.83,0.39,8.42,8.42
303,31,12,111,12,74,47,24,132,90,23,188,16,132,39,536,1.74,1.45,44.62,107.89,9.29,35.22,6.31,1.52,5.87,0.98,5.39,1.11,3.01,0.46,2.88,0.40,6.86,6.86
374,32,11,82,8,54,61,29,79,158,32,300,15,119,44,361,1.72,0.73,34.18,65.11,7.49,29.89,6.14,1.26,5.71,1.12,6.95,1.34,4.19,0.63,4.17,0.61,10.03,10.03
420,35,10,65,8,44,43,26,99,256,35,283,21,82,31,111,1.56,0.86,34.08,64.69,7.25,28.28,5.52,1.05,5.03,0.93,5.48,1.05,3.37,0.52,3.48,0.52,7.83,7.83
350,28,13,87,2,45,48,32,95,241,25,221,16,102,27,101,1.42,0.75,26.29,49.72,5.75,22.87,4.70,1.07,4.43,0.85,5.07,0.99,3.07,0.48,3.21,0.47,6.37,6.37
344,30,10,98,12,41,52,31,101,180,27,260,17,109,37,221,1.52,1.38,41.70,78.78,9.11,35.80,6.83,1.28,5.88,1.00,5.69,1.06,3.29,0.51,3.32,0.50,7.78,7.78
283,23,11,80,6,43,53,27,88,164,28,257,17,106,35,966,1.24,0.93,36.79,69.24,8.09,32.36,6.26,1.27,5.50,0.98,5.50,1.02,3.14,0.47,3.19,0.47,8.61,8.61
303,26,10,100,9,26,46,30,90,181,28,283,16,98,30,218,1.28,0.88,36.67,80.54,8.08,32.08,6.03,1.25,5.53,1.02,6.13,1.22,3.81,0.57,3.72,0.57,7.93,7.93
413,29,10,74,12,30,37,27,91,177,32,277,19,71,30,66,1.35,0.75,37.20,70.37,8.00,31.77,6.15,1.31,5.51,0.99,5.65,1.12,3.48,0.52,3.49,0.52,8.54,8.54
502,35,13,104,13,32,52,26,105,210,31,282,18,90,36,74,1.81,0.83,49.24,91.50,10.52,41.61,7.77,1.66,6.68,1.16,6.47,1.19,3.61,0.54,3.62,0.54,8.58,8.58
547,24,13,84,14,28,36,17,76,314,30,371,16,85,28,80,2,1.24,46.41,85.18,10.36,41.91,8.09,1.65,6.77,1.21,6.67,1.25,3.89,0.59,3.7,0.62,15.67,15.67
287,29,10,64,9,36,32,17,92,40,20,226,9,70,35,86,1.04,1.98,36.86,71.80,8.03,31.38,5.58,1.09,4.66,0.80,4.47,0.80,2.39,0.38,2.44,0.36,8.89,8.89
312,25,10,72,11,28,34,14,97,53,22,327,10,76,27,82,1.42,1.26,35.85,67.40,7.81,30.70,5.67,1.04,4.84,0.87,4.52,0.81,2.58,0.40,2.62,0.40,11.95,11.95
332,31,13,79,19,25,34,13,119,188,24,227,10,75,27,93,1.67,1.28,56.18,99.79,11.55,43.87,7.62,1.16,6.49,1.09,5.48,0.93,2.97,0.43,2.83,0.41,6.82,6.82
339,34,10,97,11,40,54,34,73,121,29,273,18,113,51,202,1.49,0.89,31.76,62.13,7.02,28.48,5.71,1.25,5.32,0.99,5.81,1.10,3.48,0.53,3.52,0.54,8.26,8.26
462,30,11,82,11,36,44,23,105,190,43,400,27,103,30,127,2.35,1.24,42.79,78.83,9.19,36.83,7.77,1.51,6.96,1.57,9.5,1.84,5.74,0.94,6.04,0.86,16.74,16.74
483,35,11,82,9,46,37,22,103,240,30,288,19,76,43,130,2.41,1.07,40.66,76.41,8.25,31.81,6.01,1.22,5.4,1.04,6.22,1.22,3.96,0.61,4,0.64,10.55,10.55
340,31,13,105,10,37,56,30,78,217,27,242,15,96,47,113,1.71,1.19,27.56,54,6.23,25.55,5.25,1.21,4.78,0.95,5.7,1.1,3.54,0.54,3.66,0.62,8.94,8.94
419,36,13,110,14,32,58,24,92,205,23,203,13,135,42,96,1.52,1.3,30.39,57.94,6.55,25.75,5.27,1.2,4.54,0.79,4.88,0.92,2.94,0.44,3.12,0.47,7.39,7.39
400,32,13,107,17,32,54,24,95,177,27,266,16,139,45,104,1.57,1.32,44.52,84,9.59,38.38,7.19,1.51,6.41,1.08,6.09,1.08,3.57,0.55,3.39,0.5,11.11,11.11
371,21,11,89,17,27,45,25,99,157,25,254,15,110,33,130,1.58,1.48,39.52,73.69,8.59,34.09,6.76,1.29,6.43,1.18,7.78,1.51,4.92,0.76,4.87,0.69,10.5,10.5
408,27,10,81,20,51,38,17,91,158,25,263,16,88,36,211,1.62,1.28,39.87,74.53,8.66,34.61,6.57,1.34,5.76,1.01,5.92,1.08,3.51,0.53,3.51,0.51,11.39,11.39
417,35,12,91,16,30,39,20,84,167,29,352,19,90,30,91,1.67,1.27,50,94.38,10.6,42.55,7.92,1.58,7.13,1.16,7,1.27,4.05,0.58,3.87,0.57,13.66,13.66
532,38,13,95,10,36,43,19,109,226,35,275,17,94,42,88,2.36,1.40,52.85,99.58,11.42,45.99,8.35,1.87,7.19,1.30,6.91,1.25,3.70,0.58,3.69,0.51,10.50,10.50
382,20,11,61,9,28,30,14,97,58,22,286,10,78,31,72,1.10,1.22,32.39,60.57,6.94,27.27,4.97,1.10,4.16,0.74,4.00,0.72,2.20,0.36,2.33,0.34,9.54,9.54
366,29,13,79,13,19,47,22,120,165,20,253,12,102,19,77,1.49,1.23,36.04,65.66,7.52,29.37,5.28,1.14,4.88,0.78,4.32,0.82,2.58,0.37,2.67,0.4,8.88,8.88
252,25,9,63,12,25,30,21,69,65,18,193,10,70,25,114,0.9,1.25,41.01,74.56,8.25,31.6,5.65,0.96,4.86,0.75,4.04,0.73,2.27,0.32,2.17,0.33,8.29,8.29
378,36,12,86,9,24,42,26,97,128,36,402,22,80,27,91,2.18,1.3,42.84,81.69,9.05,36.15,7.02,1.41,6.45,1.2,7.55,1.47,4.78,0.78,5.49,0.83,14.46,14.46
395,29,13,107,11,28,63,24,130,157,32,244,19,130,48,129,2.56,1.35,44.44,82.89,9.22,36.3,7.27,1.24,6.39,1.12,6.51,1.22,3.85,0.59,3.98,0.59,9.85,9.85
500,34,12,87,15,37,44,24,99,165,25,273,16,97,31,107,2.1,1.09,34.28,67.37,7.12,27.86,5.28,1.21,4.79,0.84,5.11,0.95,3.1,0.5,3.34,0.5,10.24,10.24
296,18,15,93,14,34,59,26,86,168,25,249,14,118,42,108,1.64,1.2,37.08,70.11,7.94,31.59,6.43,1.29,5.86,1.13,6.54,1.22,3.89,0.63,3.95,0.58,11.46,11.46
453,22,14,104,12,33,49,29,76,201,23,216,12,120,41,99,1.38,1.15,28.05,51.87,6.01,24.14,5.05,1.13,4.37,0.83,4.89,0.97,3.03,0.52,3.17,0.5,9.65,9.65
404,30,15,97,11,25,63,34,90,246,25,211,14,131,41,104,1.58,1.22,32.49,62.9,7.03,27.81,5.31,1.19,4.68,0.81,4.59,0.87,2.66,0.41,2.6,0.41,7.83,7.83
437,33,16,119,9,26,54,30,80,227,23,219,15,138,46,97,1.48,1.24,33.94,61.65,7.22,27.98,5.53,1.33,4.7,0.91,5.22,0.98,3.11,0.51,3.29,0.51,8.3,8.3
383,37,12,77,9,36,31,17,81,189,29,226,14,81,36,78,1.67,1.16,36.13,66.71,7.92,31.25,6.08,1.23,5.03,0.95,5.08,0.92,2.94,0.44,2.95,0.42,8.92,8.92
426,35,11,86,13,39,32,16,86,221,37,391,17,84,41,107,2.63,1.24,42.59,79.36,9.45,38.27,7.24,1.60,6.47,1.18,6.68,1.23,3.85,0.58,3.80,0.56,13.33,13.33
451,32,11,73,15,23,35,23,68,173,23,286,15,88,19,62,1.28,1.28,47.33,85.99,10.07,38.76,7.23,1.3,5.75,0.96,5.15,0.92,2.74,0.46,2.85,0.42,11.39,11.39
337,31,10,63,16,20,26,18,113,59,22,281,9,67,25,72,1.35,1.39,37.61,66.23,7.90,30.76,5.90,1.09,4.71,0.87,4.54,0.83,2.72,0.40,2.57,0.39,10.12,10.12
327,36,9,81,10,29,28,15,124,64,24,288,11,85,29,69,1.29,1.25,38.39,66.97,8.17,31.27,5.80,1.17,5.28,0.97,5.51,1.02,3.26,0.49,3.26,0.46,11.83,11.83
438,31,15,113,11,22,65,33,83,134,23,196,13,136,61,139,1.34,1.19,34.53,60.44,7.49,29.84,6.05,1.21,4.9,0.93,4.94,0.89,2.77,0.43,2.82,0.4,7.89,7.89
384,34,14,119,9,24,58,23,98,146,29,258,17,139,46,107,2.41,1.26,35.89,68.74,7.62,30.86,6.12,1.36,5.45,1.09,6.29,1.22,3.93,0.62,4.06,0.6,11.29,11.29
344,26,12,85,15,34,46,27,115,165,24,217,13,105,31,93,2.16,1.16,36.57,68.74,7.6,29.36,5.74,1.11,5.17,0.98,5.67,1.1,3.3,0.53,3.33,0.52,7.97,7.97
388,26,13,73,16,30,44,24,86,177,24,296,14,95,28,113,1.6,1.11,36.14,66.55,7.85,30.75,5.97,1.17,5.12,0.91,5.22,1,3.05,0.5,3.1,0.48,11.4,11.4
308,34,13,80,7,29,54,29,67,169,29,288,15,109,33,98,1.66,1.11,34.33,62.74,7.48,30.46,6.04,1.4,5.71,1.11,6.64,1.27,3.85,0.62,4.01,0.61,11.34,11.34
372,33,13,99,14,30,50,18,90,181,23,243,13,124,38,101,1.63,1.3,40.4,73.35,8.8,34.07,6.18,1.37,5.55,1.02,5.92,1.13,3.38,0.49,3.4,0.5,10.15,10.15
372,31,12,93,13,30,45,21,85,171,25,250,15,118,31,80,1.58,1.28,39.76,73.51,8.8,33.34,6.13,1.28,5.17,0.94,5.15,0.97,2.99,0.41,2.95,0.44,8.65,8.65
347,31,14,116,7,29,50,26,72,201,19,214,12,119,34,94,1.52,1.11,25.74,48.38,5.59,22.03,4.29,1.12,3.79,0.73,4.34,0.81,2.61,0.38,2.78,0.45,9.72,9.72
318,26,12,91,13,29,36,20,71,189,25,270,18,81,31,73,1.89,0.99,33.43,61.85,7.11,27.49,5.45,1.28,4.98,0.97,6.07,1.16,3.5,0.48,3.58,0.51,10.24,10.24
421,38,11,74,10,32,33,26,67,215,32,315,16,67,28,75,2.36,1.12,38.94,70.71,8.54,33.87,6.73,1.71,6.13,1.28,7.55,1.48,4.51,0.64,4.31,0.62,15.92,15.92
458,23,13,91,15,25,42,19,89,232,27,296,17,108,41,75,1.78,1.38,53.74,111.6,12.63,47.41,8.43,1.69,6.97,1.21,6.42,1.15,3.48,0.49,3.43,0.54,12.6,12.6
268,28,9,62,4,25,25,16,97,45,16,226,8,58,23,66,1.22,1.27,28.48,53.16,6.04,23.60,4.27,0.84,3.47,0.58,2.95,0.53,1.62,0.27,1.65,0.25,7.46,7.46
299,22,13,72,24,22,33,15,128,173,19,204,10,63,13,79,1.49,1.09,44.8,77.53,9.25,34.81,6.1,1.07,5.08,0.86,4.44,0.81,2.43,0.33,2.22,0.33,7.37,7.37
342,31,13,93,11,22,45,24,84,133,19,196,12,101,36,99,1.69,1.09,31.96,56.83,6.63,25.87,5.03,1.06,4.35,0.8,4.33,0.84,2.6,0.36,2.46,0.39,9.95,9.95
283,34,11,55,13,31,27,13,125,126,19,199,13,69,17,73,2.08,0.95,34.95,62.53,7.66,29.46,5.66,0.89,4.86,0.87,4.67,0.88,2.65,0.37,2.63,0.36,8.06,8.06
359,34,13,82,14,33,44,26,96,216,24,203,13,104,31,83,1.71,1.17,42.01,76.03,9.19,34.85,6.56,1.28,5.34,0.98,5.14,0.94,2.96,0.43,3,0.43,8.74,8.74
424,34,13,84,10,35,49,17,106,193,29,231,12,109,45,89,1.93,1.26,36.79,67.90,7.97,31.54,5.84,1.21,5.03,0.90,4.99,0.90,2.82,0.44,2.84,0.40,8.13,8.13
294,33,13,95,15,30,59,26,78,203,29,235,15,143,30,97,1.74,1.28,37.86,70.85,8.27,31.95,6.18,1.38,5.63,1.14,6.49,1.28,4.01,0.55,3.82,0.54,8.85,8.85
403,28,16,111,15,30,57,26,92,193,22,194,13,122,42,91,1.72,1.38,35.23,68.16,7.8,31.29,5.92,1.38,5.15,0.98,5.65,1.09,3.29,0.48,3.35,0.49,8.71,8.71
444,30,14,117,14,30,67,32,105,179,24,208,13,138,49,107,1.85,1.24,36.8,72.02,7.83,31.29,5.92,1.36,5.2,0.9,4.97,0.95,2.97,0.47,2.79,0.45,7.94,7.94
403,33,18,129,10,31,66,36,87,179,22,197,13,143,65,87,1.69,1.24,31.78,60.05,6.71,26.92,5.22,1.26,4.56,0.8,4.77,0.88,2.71,0.43,2.65,0.4,7.93,7.93
376,34,14,98,12,30,45,24,72,186,27,225,18,96,30,90,2.2,1.22,42.64,78.2,8.97,36.16,6.94,1.4,6.6,1.28,8.29,1.69,5.32,0.91,5.94,0.84,9.67,9.67
472,31,14,97,12,27,52,27,92,195,36,338,21,110,42,79,2.2,1.39,55.08,105.8,11.81,47.16,8.67,1.71,8.09,1.39,7.95,1.52,4.57,0.74,4.52,0.68,14.19,14.19
469,37,14,100,18,32,51,23,89,254,41,361,24,101,43,85,2.37,1.23,52.15,102.94,11.94,48.95,9.18,2.11,8.00,1.42,8.08,1.46,4.57,0.66,4.31,0.62,13.71,13.71
307,33,8,58,14,26,27,16,118,46,20,240,8,71,21,58,1.36,1.27,32.83,58.08,6.68,26.31,4.57,1.02,4.14,0.66,3.48,0.64,1.98,0.31,1.84,0.27,8.98,8.98
307,23,13,79,19,18,41,24,120,114,27,221,12,95,21,83,1.55,1.16,56.46,97.52,11.41,45.02,7.74,1.36,6.57,1.06,5.56,1.07,3.18,0.48,2.88,0.44,8.17,8.17
276,32,11,73,17,24,36,26,126,100,23,238,19,85,33,78,2.79,0.94,41.38,73.13,8.81,32.26,5.48,1.12,5.09,0.95,5.26,1.01,3.08,0.5,2.96,0.46,9.19,9.19
347,28,13,90,16,29,40,26,116,143,22,172,14,76,40,70,2.49,1.13,33.17,63.08,7.34,28.97,5.59,1.02,4.95,0.84,4.89,0.9,2.68,0.41,2.48,0.37,6.49,6.49
