X,Y,Label,BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,BP17.tif
445208.2975,2790792.357,1,34.0,88.70189,4.8083262,193.97382,122.631714,120.330574,232.36296,236.85771,195.80357,152.11946,92.26377,114.21918,99.5857,19.82148,80.84128,127.11392,97.405426
446692.3696,2786545.224,1,34.0,91.409584,45.361656,200.05338,121.65731,105.29629,231.57214,220.73123,218.57143,142.4462,83.74754,84.67133,73.35924,19.569256,71.57486,116.427765,63.253307
442783.5161,2791422.519,1,238.0,154.8587,45.615784,202.2123,163.11673,124.02117,236.29938,160.25693,182.14285,145.51903,90.47336,109.59278,81.121414,25.72839,88.05828,119.7568,62.903694
444535.4146,2788812.904,1,0.0,104.02,19.233305,203.04214,131.58246,99.1114,233.05132,244.92094,200.35715,149.65207,88.52748,103.42147,84.82151,18.508207,78.63942,122.21822,76.824394
444606.0662,2788845.836,1,0.0,101.52075,17.0,203.23412,135.75513,98.004425,233.50574,244.92094,200.35715,149.78644,88.32175,104.12727,84.69487,18.573072,79.13327,122.29949,77.91878
443836.0622,2787785.932,1,238.0,129.27267,37.4,211.02855,157.30484,84.70702,233.4104,248.95258,191.25,146.4814,90.258194,104.45555,80.67641,16.605963,73.79568,115.20501,67.186874
443866.3773,2787807.954,1,238.0,128.33873,37.4,207.51216,157.30484,84.70702,237.13905,248.95258,191.25,146.4814,90.258194,104.45555,80.67641,16.605963,73.79568,115.20501,67.186874
443866.3773,2787807.954,1,238.0,128.33873,37.4,207.51216,157.30484,84.70702,237.13905,248.95258,191.25,146.4814,90.258194,104.45555,80.67641,16.605963,73.79568,115.20501,67.186874
443866.3773,2787807.954,1,238.0,128.33873,37.4,207.51216,157.30484,84.70702,237.13905,248.95258,191.25,146.4814,90.258194,104.45555,80.67641,16.605963,73.79568,115.20501,67.186874
443866.3773,2787807.954,1,238.0,128.33873,37.4,207.51216,157.30484,84.70702,237.13905,248.95258,191.25,146.4814,90.258194,104.45555,80.67641,16.605963,73.79568,115.20501,67.186874
443866.3773,2787807.954,1,238.0,128.33873,37.4,207.51216,157.30484,84.70702,237.13905,248.95258,191.25,146.4814,90.258194,104.45555,80.67641,16.605963,73.79568,115.20501,67.186874
443866.3773,2787807.954,1,238.0,128.33873,37.4,207.51216,157.30484,84.70702,237.13905,248.95258,191.25,146.4814,90.258194,104.45555,80.67641,16.605963,73.79568,115.20501,67.186874
443866.3773,2787807.954,1,238.0,128.33873,37.4,207.51216,157.30484,84.70702,237.13905,248.95258,191.25,146.4814,90.258194,104.45555,80.67641,16.605963,73.79568,115.20501,67.186874
