BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,Label
153.0,7.65,17.336666,205.23624,173.50908,132.47339,229.44614,66.97906,180.159,187.37238,91.53341,111.42911,79.115,32.018013,90.98845,98.96426,1
153.0,34.68375,4.8083262,208.00517,148.89482,119.489426,232.4908,94.80485,192.4941,188.74797,95.958916,137.4043,99.87019,40.1239,100.18728,122.49473,1
238.0,0.0,62.50824,206.06245,166.09923,125.23451,234.98372,94.05535,193.70975,190.16248,97.255035,126.718956,85.71472,37.840073,96.57504,113.05652,1
238.0,17.85,91.3582,203.99,170.0656,121.0948,232.1358,102.20274,192.28224,193.17744,96.50514,129.39658,83.59117,38.36572,94.87905,107.72297,1
153.0,20.558758,7.602631,210.36234,181.71184,121.69603,233.38968,71.46666,186.27419,185.53952,89.58905,126.12383,90.48989,35.821888,95.942696,111.2741,1
153.0,21.027838,9.6166525,210.36234,176.6267,119.211845,233.38968,72.30929,186.19826,185.51253,89.57845,125.43548,89.95148,35.786556,95.64167,111.17026,1
238.0,56.331337,67.05849,211.0798,163.52461,126.53848,233.44055,92.98834,184.92664,195.84409,91.132965,131.97989,91.66117,40.761154,95.34658,122.1807,1
153.0,56.61919,68.84476,211.71658,153.21266,114.67647,232.48611,88.357735,184.92816,196.16397,91.17074,132.06667,91.612274,40.838287,95.34715,122.376785,1
153.0,33.540016,28.849955,201.40483,173.66196,128.11745,234.41321,100.423645,186.89609,186.99445,89.84028,126.17069,90.43758,37.32968,94.9422,114.15131,1
153.0,17.85,3.4,206.53342,188.73993,130.50732,236.4984,69.9008,186.37576,185.5083,89.56067,126.142586,90.32778,35.397892,96.27537,110.6178,1
153.0,42.055676,40.94142,198.24403,177.05875,113.82378,233.4507,92.668076,186.81174,189.38966,90.19483,128.32953,91.39194,38.628914,95.112724,117.1002,1
187.0,42.74579,40.94142,198.24403,177.05875,113.82378,233.4507,91.64811,186.85558,190.18028,90.30297,128.31023,90.91747,38.720413,94.9941,117.35268,1
153.0,15.5110445,33.658283,204.91351,184.0716,127.20487,237.63045,63.669483,194.10095,190.94048,100.45651,134.00372,93.524185,38.93717,100.9066,121.71349,1
221.0,102.66719,100.45835,213.02263,179.9537,101.57634,232.88849,67.67391,173.80122,175.17268,88.84258,118.76597,95.91942,39.874516,96.6176,122.86218,1
221.0,119.44238,91.862946,213.76215,177.90726,95.87519,235.48793,70.990486,174.94798,176.2,90.38844,127.36455,102.43632,39.444458,97.51255,124.283035,1
221.0,114.5231,87.74372,210.0403,171.10867,89.11429,235.47762,70.88946,175.00705,175.95071,90.78062,126.82461,102.10483,39.51197,97.61557,124.39418,1
221.0,116.99471,89.76257,213.76215,177.90726,95.87519,235.48793,70.88946,174.94798,176.02507,90.5433,127.110954,102.21489,39.47291,97.539116,124.37023,1
221.0,114.5231,87.74372,213.22089,171.10867,89.11429,235.15578,70.88946,175.24097,175.95071,90.78062,126.82461,102.10483,39.51197,97.61557,124.39418,1
221.0,116.99471,87.08249,213.22089,189.0969,94.52313,235.15578,70.88946,175.24097,176.10632,90.991615,128.37117,103.33433,39.517986,97.805756,124.86291,1
221.0,120.03974,86.683334,206.61142,192.53018,107.713524,234.24567,71.50184,175.41202,176.4114,91.30015,129.75323,104.63433,39.582714,98.07708,125.304405,1
221.0,123.088684,86.683334,210.53468,174.32825,97.95315,234.88588,71.891365,175.35211,176.4114,91.30015,129.75323,104.63433,39.582714,98.07708,125.304405,1
221.0,123.088684,88.98652,210.53468,174.32825,97.95315,234.88588,71.891365,175.35211,176.75255,91.21562,129.87234,104.917175,39.58663,98.115395,125.13357,1
221.0,123.088684,86.54987,214.13266,198.06119,106.80936,233.16913,71.891365,175.52524,176.75255,91.21562,129.87234,104.917175,39.58663,98.115395,125.13357,1
153.0,17.105919,84.180046,202.51486,169.0449,116.23979,234.08614,103.59674,191.97931,191.00972,95.94188,126.16233,82.7919,37.714447,94.6748,108.796455,1
221.0,125.57293,91.3582,217.47696,169.31248,108.06341,231.54631,71.51405,175.46428,177.20734,91.2101,129.9094,105.27894,39.608032,98.20354,124.887634,1
204.0,0.0,85.812126,207.19579,157.55437,103.33719,236.65552,81.770134,224.42917,182.96526,121.30999,135.75655,114.062874,53.119923,120.291725,122.48937,1
0.0,222.08435,98.6,192.59648,193.23055,154.5801,232.01553,79.73354,221.86108,166.01372,96.66176,113.70484,85.25176,38.914413,99.57185,106.6725,1
153.0,0.0,4.8083262,201.42374,191.18874,140.90494,232.29504,82.14706,207.16449,163.57773,104.77094,94.43834,89.98473,47.8217,99.914,124.10604,1
