BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,BP17.tif,Label
204.0,98.100464,130.13608,204.5203,139.78178,71.89823,237.67276,220.73123,255.0,45.69946,101.75326,137.00092,100.58472,44.05775,48.84801,125.78154,45.57358,1
187.0,207.31985,71.48091,208.85934,149.83414,110.72045,234.47887,224.76285,255.0,26.960352,95.27484,128.6763,104.80065,38.23013,34.80499,121.62298,46.051033,1
187.0,126.60435,149.13565,201.60902,129.83105,105.24466,232.60002,230.81027,255.0,39.70598,100.14466,136.72726,112.478355,47.142826,39.965824,123.82735,50.203793,1
187.0,140.82835,131.32982,202.32112,148.6374,104.69254,233.58116,238.87352,255.0,37.80352,92.519554,127.21615,99.13104,47.882084,37.417404,125.4058,48.68654,1
85.0,22.807894,177.90807,198.90007,119.29933,84.60042,235.25806,238.87352,232.23215,49.294346,70.89755,91.39803,44.794765,19.599274,39.323475,154.46489,25.29169,1
153.0,17.105919,0.0,202.10121,173.54527,76.03172,228.10963,234.8419,81.96429,30.006449,72.93073,86.32801,68.7969,26.761053,58.700367,147.49449,35.891914,1
0.0,5.7019734,0.0,191.72716,172.85005,105.7538,227.87059,234.8419,72.85714,29.125141,70.59297,85.80805,68.44135,25.607948,59.281555,148.23422,35.916412,1
0.0,2.55,0.0,193.45074,167.80916,98.217926,230.01065,236.85771,72.85714,28.403143,69.99474,85.44276,69.12048,25.42469,58.89163,150.81918,36.309856,1
0.0,24.05665,254.00072,209.79785,146.09232,76.78693,231.79547,242.90514,136.60715,31.033724,76.3798,93.01952,72.394196,27.272488,54.806236,143.58661,34.629208,1
0.0,24.05665,254.00072,209.79785,146.09232,76.78693,231.79547,242.90514,136.60715,31.033724,76.3798,93.01952,72.394196,27.272488,54.806236,143.58661,34.629208,1
0.0,24.05665,254.00072,209.79785,146.09232,76.78693,231.79547,242.90514,136.60715,31.033724,76.3798,93.01952,72.394196,27.272488,54.806236,143.58661,34.629208,1
